task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score
sentiment,flan-t5-large,urgency,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,urgency,2,0,False,42,0.0,False,0.93
sum,flan-t5-large,urgency,1,0,False,42,0.0,False,0.02
sum,flan-t5-large,urgency,2,0,False,42,0.0,False,0.02
sentiment,flan-t5-large,urgency,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,urgency,1,0,False,43,0.0,False,0.93
sentiment,flan-t5-large,urgency,1,0,False,44,0.0,False,0.93
sentiment,flan-t5-large,urgency,2,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,urgency,2,0,False,43,0.0,False,0.93
sentiment,flan-t5-large,urgency,2,0,False,44,0.0,False,0.93
cause_and_effect,flan-t5-large,urgency,1,0,False,42,0.0,False,0.56
cause_and_effect,flan-t5-large,urgency,1,0,False,43,0.0,False,0.52
cause_and_effect,flan-t5-large,urgency,1,0,False,44,0.0,False,0.48
cause_and_effect,flan-t5-large,urgency,2,0,False,42,0.0,False,0.68
cause_and_effect,flan-t5-large,urgency,2,0,False,43,0.0,False,0.64
cause_and_effect,flan-t5-large,urgency,2,0,False,44,0.0,False,0.56
sum,flan-t5-large,urgency,1,0,False,42,0.0,False,0.02
sum,flan-t5-large,urgency,1,0,False,43,0.0,False,0.02
sum,flan-t5-large,urgency,1,0,False,44,0.0,False,0.02
sum,flan-t5-large,urgency,2,0,False,42,0.0,False,0.02
sum,flan-t5-large,urgency,2,0,False,43,0.0,False,0.02
sum,flan-t5-large,urgency,2,0,False,44,0.0,False,0.02
sentence_similarity,flan-t5-large,urgency,1,0,False,42,0.0,False,0.56
sentence_similarity,flan-t5-large,urgency,1,0,False,43,0.0,False,0.56
sentence_similarity,flan-t5-large,urgency,1,0,False,44,0.0,False,0.56
sentence_similarity,flan-t5-large,urgency,2,0,False,42,0.0,False,0.58
sentence_similarity,flan-t5-large,urgency,2,0,False,43,0.0,False,0.58
sentence_similarity,flan-t5-large,urgency,2,0,False,44,0.0,False,0.58
word_in_context,flan-t5-large,urgency,1,0,False,42,0.0,False,0.55
word_in_context,flan-t5-large,urgency,1,0,False,43,0.0,False,0.55
word_in_context,flan-t5-large,urgency,1,0,False,44,0.0,False,0.55
word_in_context,flan-t5-large,urgency,2,0,False,42,0.0,False,0.5
word_in_context,flan-t5-large,urgency,2,0,False,43,0.0,False,0.5
word_in_context,flan-t5-large,urgency,2,0,False,44,0.0,False,0.5
active_to_passive,flan-t5-large,urgency,1,0,False,42,0.0,False,0.04
active_to_passive,flan-t5-large,urgency,1,0,False,43,0.0,False,0.04
active_to_passive,flan-t5-large,urgency,1,0,False,44,0.0,False,0.04
active_to_passive,flan-t5-large,urgency,2,0,False,42,0.0,False,0.03
active_to_passive,flan-t5-large,urgency,2,0,False,43,0.0,False,0.03
active_to_passive,flan-t5-large,urgency,2,0,False,44,0.0,False,0.03
antonyms,flan-t5-large,urgency,1,0,False,42,0.0,False,0.52
antonyms,flan-t5-large,urgency,1,0,False,43,0.0,False,0.52
antonyms,flan-t5-large,urgency,1,0,False,44,0.0,False,0.52
antonyms,flan-t5-large,urgency,2,0,False,42,0.0,False,0.55
antonyms,flan-t5-large,urgency,2,0,False,43,0.0,False,0.55
antonyms,flan-t5-large,urgency,2,0,False,44,0.0,False,0.55
cause_and_effect,flan-t5-large,urgency,1,0,False,42,0.0,False,0.56
cause_and_effect,flan-t5-large,urgency,1,0,False,43,0.0,False,0.52
cause_and_effect,flan-t5-large,urgency,1,0,False,44,0.0,False,0.48
cause_and_effect,flan-t5-large,urgency,2,0,False,42,0.0,False,0.68
cause_and_effect,flan-t5-large,urgency,2,0,False,43,0.0,False,0.64
cause_and_effect,flan-t5-large,urgency,2,0,False,44,0.0,False,0.56
common_concept,flan-t5-large,urgency,1,0,False,42,0.0,False,0.0
common_concept,flan-t5-large,urgency,1,0,False,43,0.0,False,0.0
common_concept,flan-t5-large,urgency,1,0,False,44,0.0,False,0.0
common_concept,flan-t5-large,urgency,2,0,False,42,0.0,False,0.0
common_concept,flan-t5-large,urgency,2,0,False,43,0.0,False,0.0
common_concept,flan-t5-large,urgency,2,0,False,44,0.0,False,0.0
diff,flan-t5-large,urgency,1,0,False,42,0.0,False,0.04
diff,flan-t5-large,urgency,1,0,False,43,0.0,False,0.04
diff,flan-t5-large,urgency,1,0,False,44,0.0,False,0.04
diff,flan-t5-large,urgency,2,0,False,42,0.0,False,0.03
diff,flan-t5-large,urgency,2,0,False,43,0.0,False,0.03
diff,flan-t5-large,urgency,2,0,False,44,0.0,False,0.03
first_word_letter,flan-t5-large,urgency,1,0,False,42,0.0,False,1.0
first_word_letter,flan-t5-large,urgency,1,0,False,43,0.0,False,1.0
first_word_letter,flan-t5-large,urgency,1,0,False,44,0.0,False,1.0
first_word_letter,flan-t5-large,urgency,2,0,False,42,0.0,False,1.0
first_word_letter,flan-t5-large,urgency,2,0,False,43,0.0,False,1.0
first_word_letter,flan-t5-large,urgency,2,0,False,44,0.0,False,1.0
informal_to_formal,flan-t5-large,urgency,1,0,False,42,0.0,False,0.43736670736670735
informal_to_formal,flan-t5-large,urgency,1,0,False,43,0.0,False,0.4373667073667074
informal_to_formal,flan-t5-large,urgency,1,0,False,44,0.0,False,0.4373667073667073
informal_to_formal,flan-t5-large,urgency,2,0,False,42,0.0,False,0.43736670736670735
informal_to_formal,flan-t5-large,urgency,2,0,False,43,0.0,False,0.4373667073667074
informal_to_formal,flan-t5-large,urgency,2,0,False,44,0.0,False,0.4373667073667073
larger_animal,flan-t5-large,urgency,1,0,False,42,0.0,False,0.69
larger_animal,flan-t5-large,urgency,1,0,False,43,0.0,False,0.69
larger_animal,flan-t5-large,urgency,1,0,False,44,0.0,False,0.69
larger_animal,flan-t5-large,urgency,2,0,False,42,0.0,False,0.64
larger_animal,flan-t5-large,urgency,2,0,False,43,0.0,False,0.64
larger_animal,flan-t5-large,urgency,2,0,False,44,0.0,False,0.64
letters_list,flan-t5-large,urgency,1,0,False,42,0.0,False,0.0
letters_list,flan-t5-large,urgency,1,0,False,43,0.0,False,0.0
letters_list,flan-t5-large,urgency,1,0,False,44,0.0,False,0.0
letters_list,flan-t5-large,urgency,2,0,False,42,0.0,False,0.0
letters_list,flan-t5-large,urgency,2,0,False,43,0.0,False,0.0
letters_list,flan-t5-large,urgency,2,0,False,44,0.0,False,0.0
negation,flan-t5-large,urgency,1,0,False,42,0.0,False,0.0
negation,flan-t5-large,urgency,1,0,False,43,0.0,False,0.0
negation,flan-t5-large,urgency,1,0,False,44,0.0,False,0.0
negation,flan-t5-large,urgency,2,0,False,42,0.0,False,0.03
negation,flan-t5-large,urgency,2,0,False,43,0.0,False,0.03
negation,flan-t5-large,urgency,2,0,False,44,0.0,False,0.03
num_to_verbal,flan-t5-large,urgency,1,0,False,42,0.0,False,0.0
num_to_verbal,flan-t5-large,urgency,1,0,False,43,0.0,False,0.0
num_to_verbal,flan-t5-large,urgency,1,0,False,44,0.0,False,0.0
num_to_verbal,flan-t5-large,urgency,2,0,False,42,0.0,False,0.0
num_to_verbal,flan-t5-large,urgency,2,0,False,43,0.0,False,0.0
num_to_verbal,flan-t5-large,urgency,2,0,False,44,0.0,False,0.0
orthography_starts_with,flan-t5-large,urgency,1,0,False,42,0.0,False,0.08
orthography_starts_with,flan-t5-large,urgency,1,0,False,43,0.0,False,0.08
orthography_starts_with,flan-t5-large,urgency,1,0,False,44,0.0,False,0.08
orthography_starts_with,flan-t5-large,urgency,2,0,False,42,0.0,False,0.12
orthography_starts_with,flan-t5-large,urgency,2,0,False,43,0.0,False,0.12
orthography_starts_with,flan-t5-large,urgency,2,0,False,44,0.0,False,0.12
rhymes,flan-t5-large,urgency,1,0,False,42,0.0,False,0.28
rhymes,flan-t5-large,urgency,1,0,False,43,0.0,False,0.28
rhymes,flan-t5-large,urgency,1,0,False,44,0.0,False,0.28
rhymes,flan-t5-large,urgency,2,0,False,42,0.0,False,0.16
