task,pair,seed,neutral_score,negative_score,delta_negative_minus_neutral
active_to_passive,1,42,0.0,0.01,0.01
active_to_passive,1,43,0.0,0.01,0.01
active_to_passive,1,44,0.0,0.01,0.01
active_to_passive,2,42,0.09,0.0,-0.09
active_to_passive,2,43,0.09,0.0,-0.09
active_to_passive,2,44,0.09,0.0,-0.09
active_to_passive,3,42,0.02,0.0,-0.02
active_to_passive,3,43,0.02,0.0,-0.02
active_to_passive,3,44,0.02,0.0,-0.02
active_to_passive,4,42,0.03,0.0,-0.03
active_to_passive,4,43,0.03,0.0,-0.03
active_to_passive,4,44,0.03,0.0,-0.03
antonyms,1,42,0.57,0.55,-0.019999999999999907
antonyms,1,43,0.57,0.55,-0.019999999999999907
antonyms,1,44,0.57,0.55,-0.019999999999999907
antonyms,2,42,0.57,0.56,-0.009999999999999898
antonyms,2,43,0.57,0.56,-0.009999999999999898
antonyms,2,44,0.57,0.56,-0.009999999999999898
antonyms,3,42,0.58,0.52,-0.05999999999999994
antonyms,3,43,0.58,0.52,-0.05999999999999994
antonyms,3,44,0.58,0.52,-0.05999999999999994
antonyms,4,42,0.55,0.55,0.0
antonyms,4,43,0.55,0.55,0.0
antonyms,4,44,0.55,0.55,0.0
cause_and_effect,1,42,0.68,0.68,0.0
cause_and_effect,1,43,0.68,0.6,-0.08000000000000007
cause_and_effect,1,44,0.6,0.48,-0.12
cause_and_effect,2,42,0.52,0.6,0.07999999999999996
cause_and_effect,2,43,0.56,0.52,-0.040000000000000036
cause_and_effect,2,44,0.44,0.4,-0.03999999999999998
cause_and_effect,3,42,0.52,0.64,0.12
cause_and_effect,3,43,0.6,0.52,-0.07999999999999996
cause_and_effect,3,44,0.52,0.48,-0.040000000000000036
cause_and_effect,4,42,0.64,0.52,-0.12
cause_and_effect,4,43,0.72,0.52,-0.19999999999999996
cause_and_effect,4,44,0.6,0.44,-0.15999999999999998
common_concept,1,42,0.0,0.0,0.0
common_concept,1,43,0.0,0.0,0.0
common_concept,1,44,0.0,0.0,0.0
common_concept,2,42,0.0,0.0,0.0
common_concept,2,43,0.0,0.0,0.0
common_concept,2,44,0.0,0.0,0.0
common_concept,3,42,0.0,0.0,0.0
common_concept,3,43,0.0,0.0,0.0
common_concept,3,44,0.0,0.0,0.0
common_concept,4,42,0.0,0.0,0.0
common_concept,4,43,0.0,0.0,0.0
common_concept,4,44,0.0,0.0,0.0
diff,1,42,0.03,0.04,0.010000000000000002
diff,1,43,0.03,0.04,0.010000000000000002
diff,1,44,0.03,0.04,0.010000000000000002
diff,2,42,0.04,0.02,-0.02
diff,2,43,0.04,0.02,-0.02
diff,2,44,0.04,0.02,-0.02
diff,3,42,0.04,0.02,-0.02
diff,3,43,0.04,0.02,-0.02
diff,3,44,0.04,0.02,-0.02
diff,4,42,0.04,0.04,0.0
diff,4,43,0.04,0.04,0.0
diff,4,44,0.04,0.04,0.0
first_word_letter,1,42,1.0,1.0,0.0
first_word_letter,1,43,1.0,1.0,0.0
first_word_letter,1,44,1.0,1.0,0.0
first_word_letter,2,42,1.0,1.0,0.0
first_word_letter,2,43,1.0,1.0,0.0
first_word_letter,2,44,1.0,1.0,0.0
first_word_letter,3,42,1.0,0.95,-0.050000000000000044
first_word_letter,3,43,1.0,0.95,-0.050000000000000044
first_word_letter,3,44,1.0,0.95,-0.050000000000000044
first_word_letter,4,42,1.0,1.0,0.0
first_word_letter,4,43,1.0,1.0,0.0
first_word_letter,4,44,1.0,1.0,0.0
informal_to_formal,1,42,0.0,0.0,0.0
informal_to_formal,1,43,0.0,0.0,0.0
informal_to_formal,1,44,0.0,0.0,0.0
informal_to_formal,2,42,0.0,0.0,0.0
informal_to_formal,2,43,0.0,0.0,0.0
informal_to_formal,2,44,0.0,0.0,0.0
informal_to_formal,3,42,0.0,0.0,0.0
informal_to_formal,3,43,0.0,0.0,0.0
informal_to_formal,3,44,0.0,0.0,0.0
informal_to_formal,4,42,0.0,0.0,0.0
informal_to_formal,4,43,0.0,0.0,0.0
informal_to_formal,4,44,0.0,0.0,0.0
larger_animal,1,42,0.67,0.68,0.010000000000000009
larger_animal,1,43,0.67,0.68,0.010000000000000009
larger_animal,1,44,0.67,0.68,0.010000000000000009
larger_animal,2,42,0.92,0.69,-0.2300000000000001
larger_animal,2,43,0.92,0.69,-0.2300000000000001
larger_animal,2,44,0.92,0.69,-0.2300000000000001
larger_animal,3,42,0.7,0.68,-0.019999999999999907
larger_animal,3,43,0.7,0.68,-0.019999999999999907
larger_animal,3,44,0.7,0.68,-0.019999999999999907
larger_animal,4,42,0.67,0.64,-0.030000000000000027
larger_animal,4,43,0.67,0.64,-0.030000000000000027
larger_animal,4,44,0.67,0.64,-0.030000000000000027
letters_list,1,42,0.0,0.0,0.0
letters_list,1,43,0.0,0.0,0.0
letters_list,1,44,0.0,0.0,0.0
letters_list,2,42,0.0,0.0,0.0
letters_list,2,43,0.0,0.0,0.0
letters_list,2,44,0.0,0.0,0.0
letters_list,3,42,0.0,0.0,0.0
letters_list,3,43,0.0,0.0,0.0
letters_list,3,44,0.0,0.0,0.0
letters_list,4,42,0.0,0.0,0.0
letters_list,4,43,0.0,0.0,0.0
letters_list,4,44,0.0,0.0,0.0
negation,1,42,0.05,0.0,-0.05
negation,1,43,0.05,0.0,-0.05
negation,1,44,0.05,0.0,-0.05
negation,2,42,0.0,0.0,0.0
negation,2,43,0.0,0.0,0.0
negation,2,44,0.0,0.0,0.0
negation,3,42,0.0,0.0,0.0
negation,3,43,0.0,0.0,0.0
negation,3,44,0.0,0.0,0.0
negation,4,42,0.0,0.0,0.0
negation,4,43,0.0,0.0,0.0
negation,4,44,0.0,0.0,0.0
num_to_verbal,1,42,0.0,0.0,0.0
num_to_verbal,1,43,0.0,0.0,0.0
num_to_verbal,1,44,0.0,0.0,0.0
num_to_verbal,2,42,0.0,0.0,0.0
num_to_verbal,2,43,0.0,0.0,0.0
num_to_verbal,2,44,0.0,0.0,0.0
num_to_verbal,3,42,0.0,0.0,0.0
num_to_verbal,3,43,0.0,0.0,0.0
num_to_verbal,3,44,0.0,0.0,0.0
num_to_verbal,4,42,0.0,0.0,0.0
num_to_verbal,4,43,0.0,0.0,0.0
num_to_verbal,4,44,0.0,0.0,0.0
orthography_starts_with,1,42,0.09,0.04,-0.049999999999999996
orthography_starts_with,1,43,0.09,0.04,-0.049999999999999996
orthography_starts_with,1,44,0.09,0.04,-0.049999999999999996
orthography_starts_with,2,42,0.18,0.05,-0.13
orthography_starts_with,2,43,0.18,0.05,-0.13
orthography_starts_with,2,44,0.18,0.05,-0.13
orthography_starts_with,3,42,0.09,0.04,-0.049999999999999996
orthography_starts_with,3,43,0.09,0.04,-0.049999999999999996
orthography_starts_with,3,44,0.09,0.04,-0.049999999999999996
orthography_starts_with,4,42,0.12,0.05,-0.06999999999999999
orthography_starts_with,4,43,0.12,0.05,-0.06999999999999999
orthography_starts_with,4,44,0.12,0.05,-0.06999999999999999
rhymes,1,42,0.17,0.28,0.11000000000000001
rhymes,1,43,0.17,0.28,0.11000000000000001
rhymes,1,44,0.17,0.28,0.11000000000000001
rhymes,2,42,0.15,0.28,0.13000000000000003
rhymes,2,43,0.15,0.28,0.13000000000000003
rhymes,2,44,0.15,0.28,0.13000000000000003
rhymes,3,42,0.16,0.21,0.04999999999999999
rhymes,3,43,0.16,0.21,0.04999999999999999
rhymes,3,44,0.16,0.21,0.04999999999999999
rhymes,4,42,0.15,0.28,0.13000000000000003
rhymes,4,43,0.15,0.28,0.13000000000000003
rhymes,4,44,0.15,0.28,0.13000000000000003
second_word_letter,1,42,1.0,1.0,0.0
second_word_letter,1,43,1.0,1.0,0.0
second_word_letter,1,44,1.0,1.0,0.0
second_word_letter,2,42,1.0,0.97,-0.030000000000000027
second_word_letter,2,43,1.0,0.97,-0.030000000000000027
second_word_letter,2,44,1.0,0.97,-0.030000000000000027
second_word_letter,3,42,1.0,0.76,-0.24
second_word_letter,3,43,1.0,0.76,-0.24
second_word_letter,3,44,1.0,0.76,-0.24
second_word_letter,4,42,1.0,1.0,0.0
second_word_letter,4,43,1.0,1.0,0.0
second_word_letter,4,44,1.0,1.0,0.0
sentence_similarity,1,42,0.0,0.0,0.0
sentence_similarity,1,43,0.0,0.0,0.0
sentence_similarity,1,44,0.0,0.0,0.0
sentence_similarity,2,42,0.0,0.0,0.0
sentence_similarity,2,43,0.0,0.0,0.0
sentence_similarity,2,44,0.0,0.0,0.0
sentence_similarity,3,42,0.0,0.0,0.0
