task,model,stimulus_group,stimulus_index,legacy_pnum,prime_group,prime_index,sequence,few_shot,seed,temperature,do_sample,score
active_to_passive,flan-t5-large,negative_original,,4,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.05
active_to_passive,flan-t5-large,negative_original,,5,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.06
active_to_passive,flan-t5-large,negative_original,,8,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.06
word_in_context,flan-t5-large,negative_original,,4,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.54
word_in_context,flan-t5-large,negative_original,,5,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.55
word_in_context,flan-t5-large,negative_original,,8,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.54
cause_and_effect,flan-t5-large,negative_original,,4,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.56
cause_and_effect,flan-t5-large,negative_original,,5,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,negative_original,,8,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,4,positive,1,prime_then_task_then_stimulus,False,43,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,5,positive,1,prime_then_task_then_stimulus,False,43,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,8,positive,1,prime_then_task_then_stimulus,False,43,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,4,positive,1,prime_then_task_then_stimulus,False,44,0.0,False,0.48
cause_and_effect,flan-t5-large,negative_original,,5,positive,1,prime_then_task_then_stimulus,False,44,0.0,False,0.48
cause_and_effect,flan-t5-large,negative_original,,8,positive,1,prime_then_task_then_stimulus,False,44,0.0,False,0.4
cause_and_effect,flan-t5-large,negative_original,,4,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.56
cause_and_effect,flan-t5-large,negative_original,,5,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,negative_original,,8,positive,1,prime_then_task_then_stimulus,False,42,0.0,False,0.52
