"task","pair","n_seeds","mean_delta_negative_minus_neutral","std_delta_negative_minus_neutral","direction"
"active_to_passive","1","3","0,01","0","negative_better"
"active_to_passive","2","3","-0,09","0","neutral_better"
"active_to_passive","3","3","-0,02","0","neutral_better"
"active_to_passive","4","3","-0,03","0","neutral_better"
"antonyms","1","3","-0,02","0","neutral_better"
"antonyms","2","3","-0,01","0","neutral_better"
"antonyms","3","3","-0,06","0","neutral_better"
"antonyms","4","3","0","0","equal"
"cause_and_effect","1","3","-0,066667","0,049889","neutral_better"
"cause_and_effect","2","3","0","0,056569","neutral_better"
"cause_and_effect","3","3","0","0,08641","equal"
"cause_and_effect","4","3","-0,16","0,03266","neutral_better"
"common_concept","1","3","0","0","equal"
"common_concept","2","3","0","0","equal"
"common_concept","3","3","0","0","equal"
"common_concept","4","3","0","0","equal"
"diff","1","3","0,01","0","negative_better"
"diff","2","3","-0,02","0","neutral_better"
"diff","3","3","-0,02","0","neutral_better"
"diff","4","3","0","0","equal"
"first_word_letter","1","3","0","0","equal"
"first_word_letter","2","3","0","0","equal"
"first_word_letter","3","3","-0,05","0","neutral_better"
"first_word_letter","4","3","0","0","equal"
"informal_to_formal","1","3","0","0","equal"
"informal_to_formal","2","3","0","0","equal"
"informal_to_formal","3","3","0","0","equal"
"informal_to_formal","4","3","0","0","equal"
"larger_animal","1","3","0,01","0","negative_better"
"larger_animal","2","3","-0,23","0","neutral_better"
"larger_animal","3","3","-0,02","0","neutral_better"
"larger_animal","4","3","-0,03","0","neutral_better"
"letters_list","1","3","0","0","equal"
"letters_list","2","3","0","0","equal"
"letters_list","3","3","0","0","equal"
"letters_list","4","3","0","0","equal"
"negation","1","3","-0,05","0","neutral_better"
"negation","2","3","0","0","equal"
"negation","3","3","0","0","equal"
"negation","4","3","0","0","equal"
"num_to_verbal","1","3","0","0","equal"
"num_to_verbal","2","3","0","0","equal"
"num_to_verbal","3","3","0","0","equal"
"num_to_verbal","4","3","0","0","equal"
"orthography_starts_with","1","3","-0,05","0","neutral_better"
"orthography_starts_with","2","3","-0,13","0","neutral_better"
"orthography_starts_with","3","3","-0,05","0","neutral_better"
"orthography_starts_with","4","3","-0,07","0","neutral_better"
"rhymes","1","3","0,11","0","negative_better"
"rhymes","2","3","0,13","0","negative_better"
"rhymes","3","3","0,05","0","negative_better"
"rhymes","4","3","0,13","0","negative_better"
"second_word_letter","1","3","0","0","equal"
"second_word_letter","2","3","-0,03","0","neutral_better"
"second_word_letter","3","3","-0,24","0","neutral_better"
"second_word_letter","4","3","0","0","equal"
"sentence_similarity","1","3","0","0","equal"
"sentence_similarity","2","3","0","0","equal"
"sentence_similarity","3","3","0","0","equal"
"sentence_similarity","4","3","0","0","equal"
"sentiment","1","3","0","0","equal"
"sentiment","2","3","0,01","0","negative_better"
"sentiment","3","3","0,02","0","negative_better"
"sentiment","4","3","0,01","0","negative_better"
"singular_to_plural","1","3","-0,24","0","neutral_better"
"singular_to_plural","2","3","-0,21","0","neutral_better"
"singular_to_plural","3","3","-0,31","0","neutral_better"
"singular_to_plural","4","3","-0,12","0","neutral_better"
"sum","1","3","0","0","equal"
"sum","2","3","0","0","equal"
"sum","3","3","0,01","0","negative_better"
"sum","4","3","0","0","equal"
"synonyms","1","3","0","0","equal"
"synonyms","2","3","0","0","equal"
"synonyms","3","3","0,01","0","negative_better"
"synonyms","4","3","-0,02","0","neutral_better"
"taxonomy_animal","1","3","0,01","0","negative_better"
"taxonomy_animal","2","3","0,14","0","negative_better"
"taxonomy_animal","3","3","-0,02","0","neutral_better"
"taxonomy_animal","4","3","-0,01","0","neutral_better"
"translation_en-de","1","3","-0,02","0","neutral_better"
"translation_en-de","2","3","-0,01","0","neutral_better"
"translation_en-de","3","3","0","0","equal"
"translation_en-de","4","3","0,01","0","negative_better"
"translation_en-es","1","3","-0,03","0","neutral_better"
"translation_en-es","2","3","-0,07","0","neutral_better"
"translation_en-es","3","3","-0,05","0","neutral_better"
"translation_en-es","4","3","0,05","0","negative_better"
"translation_en-fr","1","3","0","0","equal"
"translation_en-fr","2","3","-0,09","0","neutral_better"
"translation_en-fr","3","3","-0,06","0","neutral_better"
"translation_en-fr","4","3","-0,01","0","neutral_better"
"word_in_context","1","3","0,07","0","negative_better"
"word_in_context","2","3","0,12","0","negative_better"
"word_in_context","3","3","0,12","0","negative_better"
"word_in_context","4","3","0,04","0","negative_better"
