task,task_family,stimulus_group,mean_score,baseline_score,delta_vs_baseline,std_score,direction
singular_to_plural,morphology,regret,0.09,0.38,-0.29,0.02,worse_than_baseline
singular_to_plural,morphology,social_comparison,0.145,0.38,-0.235,0.105,worse_than_baseline
singular_to_plural,morphology,urgency,0.18,0.38,-0.2,0.06,worse_than_baseline
orthography_starts_with,string_filtering,inconsistency,0.18,0.02,0.16,0.0,better_than_baseline
cause_and_effect,causal_reasoning,regret,0.533333,0.653333,-0.12,0.067987,worse_than_baseline
orthography_starts_with,string_filtering,competence_threat,0.13,0.02,0.11,0.05,better_than_baseline
cause_and_effect,causal_reasoning,inconsistency,0.546667,0.653333,-0.106666,0.082192,worse_than_baseline
translation_en-es,translation,social_comparison,0.315,0.42,-0.105,0.005,worse_than_baseline
rhymes,lexical_generation,inconsistency,0.1,0.19,-0.09,0.05,worse_than_baseline
cause_and_effect,causal_reasoning,competence_threat,0.566667,0.653333,-0.086666,0.062893,worse_than_baseline
cause_and_effect,causal_reasoning,urgency,0.573333,0.653333,-0.08,0.067987,worse_than_baseline
orthography_starts_with,string_filtering,regret,0.1,0.02,0.08,0.01,better_than_baseline
orthography_starts_with,string_filtering,urgency,0.1,0.02,0.08,0.02,better_than_baseline
singular_to_plural,morphology,competence_threat,0.305,0.38,-0.075,0.085,worse_than_baseline
word_in_context,lexical_semantics,competence_threat,0.515,0.59,-0.075,0.045,worse_than_baseline
orthography_starts_with,string_filtering,social_comparison,0.09,0.02,0.07,0.02,better_than_baseline
word_in_context,lexical_semantics,social_comparison,0.525,0.59,-0.065,0.035,worse_than_baseline
word_in_context,lexical_semantics,urgency,0.525,0.59,-0.065,0.025,worse_than_baseline
larger_animal,comparative_reasoning,social_comparison,0.65,0.71,-0.06,0.02,worse_than_baseline
word_in_context,lexical_semantics,inconsistency,0.53,0.59,-0.06,0.02,worse_than_baseline
second_word_letter,string_extraction,competence_threat,0.945,1.0,-0.055,0.055,worse_than_baseline
translation_en-fr,translation,social_comparison,0.345,0.4,-0.055,0.005,worse_than_baseline
larger_animal,comparative_reasoning,urgency,0.665,0.71,-0.045,0.025,worse_than_baseline
larger_animal,comparative_reasoning,regret,0.67,0.71,-0.04,0.01,worse_than_baseline
rhymes,lexical_generation,regret,0.15,0.19,-0.04,0.0,worse_than_baseline
word_in_context,lexical_semantics,regret,0.55,0.59,-0.04,0.01,worse_than_baseline
taxonomy_animal,semantic_filtering,inconsistency,0.085,0.12,-0.035,0.065,worse_than_baseline
translation_en-de,translation,competence_threat,0.185,0.15,0.035,0.015,better_than_baseline
translation_en-fr,translation,inconsistency,0.435,0.4,0.035,0.015,better_than_baseline
informal_to_formal,rewriting_transformation,inconsistency,0.406186,0.437367,-0.031181,0.027477,worse_than_baseline
negation,rewriting_transformation,social_comparison,0.03,0.0,0.03,0.02,better_than_baseline
rhymes,lexical_generation,urgency,0.22,0.19,0.03,0.06,better_than_baseline
taxonomy_animal,semantic_filtering,competence_threat,0.09,0.12,-0.03,0.01,worse_than_baseline
translation_en-es,translation,regret,0.45,0.42,0.03,0.02,better_than_baseline
antonyms,lexical_semantics,urgency,0.535,0.56,-0.025,0.015,worse_than_baseline
larger_animal,comparative_reasoning,inconsistency,0.685,0.71,-0.025,0.005,worse_than_baseline
rhymes,lexical_generation,competence_threat,0.165,0.19,-0.025,0.035,worse_than_baseline
sentence_similarity,semantic_similarity,inconsistency,0.585,0.56,0.025,0.005,better_than_baseline
translation_en-de,translation,social_comparison,0.175,0.15,0.025,0.005,better_than_baseline
translation_en-es,translation,inconsistency,0.395,0.42,-0.025,0.035,worse_than_baseline
translation_en-es,translation,urgency,0.395,0.42,-0.025,0.035,worse_than_baseline
antonyms,lexical_semantics,inconsistency,0.54,0.56,-0.02,0.0,worse_than_baseline
cause_and_effect,causal_reasoning,social_comparison,0.633333,0.653333,-0.02,0.070868,worse_than_baseline
second_word_letter,string_extraction,social_comparison,0.98,1.0,-0.02,0.02,worse_than_baseline
active_to_passive,rewriting_transformation,regret,0.015,0.03,-0.015,0.005,worse_than_baseline
antonyms,lexical_semantics,regret,0.545,0.56,-0.015,0.005,worse_than_baseline
diff,numerical_reasoning,regret,0.035,0.05,-0.015,0.005,worse_than_baseline
diff,numerical_reasoning,urgency,0.035,0.05,-0.015,0.005,worse_than_baseline
larger_animal,comparative_reasoning,competence_threat,0.695,0.71,-0.015,0.045,worse_than_baseline
negation,rewriting_transformation,urgency,0.015,0.0,0.015,0.015,better_than_baseline
sentence_similarity,semantic_similarity,competence_threat,0.575,0.56,0.015,0.015,better_than_baseline
