Modèle,Stimulus,Tâche,Score
t5,NP00,sentiment,0.93
t5,NP00,antonyms,0.56
t5,NP00,synonyms,0.03
t5,NP00,larger_animal,0.71
t5,NP00,logical_deduction,0.0
t5,NP00,causal_judgment,0.0
t5,NP01,sentiment,0.93
t5,NP01,antonyms,0.53
t5,NP01,synonyms,0.03
t5,NP01,larger_animal,0.68
t5,NP01,logical_deduction,0.0
t5,NP01,causal_judgment,0.0
t5,NP02,sentiment,0.93
t5,NP02,antonyms,0.53
t5,NP02,synonyms,0.03
t5,NP02,larger_animal,0.69
t5,NP02,logical_deduction,0.0
t5,NP02,causal_judgment,0.0
t5,NP03,sentiment,0.95
t5,NP03,antonyms,0.5
t5,NP03,synonyms,0.03
t5,NP03,larger_animal,0.7
t5,NP03,logical_deduction,0.0
t5,NP03,causal_judgment,0.0
t5,NP04,sentiment,0.92
t5,NP04,antonyms,0.55
t5,NP04,synonyms,0.02
t5,NP04,larger_animal,0.66
t5,NP04,logical_deduction,0.0
t5,NP04,causal_judgment,0.0
t5,NP05,sentiment,0.93
t5,NP05,antonyms,0.55
t5,NP05,synonyms,0.02
t5,NP05,larger_animal,0.66
t5,NP05,logical_deduction,0.0
t5,NP05,causal_judgment,0.0
t5,NP06,sentiment,0.93
t5,NP06,antonyms,0.57
t5,NP06,synonyms,0.03
t5,NP06,larger_animal,0.7
t5,NP06,logical_deduction,0.0
t5,NP06,causal_judgment,0.0
t5,NP07,sentiment,0.93
t5,NP07,antonyms,0.54
t5,NP07,synonyms,0.03
t5,NP07,larger_animal,0.66
t5,NP07,logical_deduction,0.0
t5,NP07,causal_judgment,0.0
t5,NP08,sentiment,0.93
t5,NP08,antonyms,0.53
t5,NP08,synonyms,0.03
t5,NP08,larger_animal,0.66
t5,NP08,logical_deduction,0.0
t5,NP08,causal_judgment,0.0
t5,NP09,sentiment,0.93
t5,NP09,antonyms,0.54
t5,NP09,synonyms,0.02
t5,NP09,larger_animal,0.73
t5,NP09,logical_deduction,0.0
t5,NP09,causal_judgment,0.0
t5,NP10,sentiment,0.94
t5,NP10,antonyms,0.52
t5,NP10,synonyms,0.04
t5,NP10,larger_animal,0.68
t5,NP10,logical_deduction,0.0
t5,NP10,causal_judgment,0.0
vicuna,NP00,sentiment,0.0
vicuna,NP00,antonyms,0.0
vicuna,NP00,synonyms,0.0
vicuna,NP00,larger_animal,0.0
vicuna,NP00,logical_deduction,0.0
vicuna,NP00,causal_judgment,0.0
vicuna,NP01,sentiment,0.0
vicuna,NP01,antonyms,0.0
vicuna,NP01,synonyms,0.0
vicuna,NP01,larger_animal,0.0
vicuna,NP01,logical_deduction,0.0
vicuna,NP01,causal_judgment,0.0
vicuna,NP02,sentiment,0.0
vicuna,NP02,antonyms,0.0
vicuna,NP02,synonyms,0.0
vicuna,NP02,larger_animal,0.0
vicuna,NP02,logical_deduction,0.0
vicuna,NP02,causal_judgment,0.0
vicuna,NP03,sentiment,0.0
vicuna,NP03,antonyms,0.0
vicuna,NP03,synonyms,0.0
vicuna,NP03,larger_animal,0.0
vicuna,NP03,logical_deduction,0.0
vicuna,NP03,causal_judgment,0.0
vicuna,NP04,sentiment,0.0
vicuna,NP04,antonyms,0.0
vicuna,NP04,synonyms,0.0
vicuna,NP04,larger_animal,0.0
vicuna,NP04,logical_deduction,0.0
vicuna,NP04,causal_judgment,0.0
vicuna,NP05,sentiment,0.0
vicuna,NP05,antonyms,0.0
vicuna,NP05,synonyms,0.0
vicuna,NP05,larger_animal,0.0
vicuna,NP05,logical_deduction,0.0
vicuna,NP05,causal_judgment,0.0
vicuna,NP06,sentiment,0.0
vicuna,NP06,antonyms,0.0
vicuna,NP06,synonyms,0.0
vicuna,NP06,larger_animal,0.0
vicuna,NP06,logical_deduction,0.0
vicuna,NP06,causal_judgment,0.0
vicuna,NP07,sentiment,0.0
vicuna,NP07,antonyms,0.0
vicuna,NP07,synonyms,0.0
vicuna,NP07,larger_animal,0.0
vicuna,NP07,logical_deduction,0.0
vicuna,NP07,causal_judgment,0.0
vicuna,NP08,sentiment,0.0
vicuna,NP08,antonyms,0.0
vicuna,NP08,synonyms,0.0
vicuna,NP08,larger_animal,0.0
vicuna,NP08,logical_deduction,0.0
vicuna,NP08,causal_judgment,0.0
vicuna,NP09,sentiment,0.0
vicuna,NP09,antonyms,0.0
vicuna,NP09,synonyms,0.0
vicuna,NP09,larger_animal,0.0
vicuna,NP09,logical_deduction,0.0
