task,model,legacy_pnum,n_runs,n_seeds,seeds,mean_score,baseline_score,delta_vs_baseline
active_to_passive,flan-t5-large,1,3,3,42 | 43 | 44,0.01,0.03,-0.02
active_to_passive,flan-t5-large,2,3,3,42 | 43 | 44,0.0,0.03,-0.03
active_to_passive,flan-t5-large,3,3,3,42 | 43 | 44,0.0,0.03,-0.03
active_to_passive,flan-t5-large,4,3,3,42 | 43 | 44,0.0,0.03,-0.03
active_to_passive,flan-t5-large,5,3,3,42 | 43 | 44,0.0,0.03,-0.03
active_to_passive,flan-t5-large,6,3,3,42 | 43 | 44,0.01,0.03,-0.02
active_to_passive,flan-t5-large,7,3,3,42 | 43 | 44,0.01,0.03,-0.02
active_to_passive,flan-t5-large,8,3,3,42 | 43 | 44,0.0,0.03,-0.03
active_to_passive,flan-t5-large,9,3,3,42 | 43 | 44,0.0,0.03,-0.03
active_to_passive,flan-t5-large,10,3,3,42 | 43 | 44,0.0,0.03,-0.03
antonyms,flan-t5-large,1,3,3,42 | 43 | 44,0.55,0.56,-0.01
antonyms,flan-t5-large,2,3,3,42 | 43 | 44,0.56,0.56,0.0
antonyms,flan-t5-large,3,3,3,42 | 43 | 44,0.52,0.56,-0.04
antonyms,flan-t5-large,4,3,3,42 | 43 | 44,0.55,0.56,-0.01
antonyms,flan-t5-large,5,3,3,42 | 43 | 44,0.56,0.56,0.0
antonyms,flan-t5-large,6,3,3,42 | 43 | 44,0.57,0.56,0.01
antonyms,flan-t5-large,7,3,3,42 | 43 | 44,0.55,0.56,-0.01
antonyms,flan-t5-large,8,3,3,42 | 43 | 44,0.52,0.56,-0.04
antonyms,flan-t5-large,9,3,3,42 | 43 | 44,0.54,0.56,-0.02
antonyms,flan-t5-large,10,3,3,42 | 43 | 44,0.53,0.56,-0.03
cause_and_effect,flan-t5-large,1,3,3,42 | 43 | 44,0.586667,0.653333,-0.066667
cause_and_effect,flan-t5-large,2,3,3,42 | 43 | 44,0.506667,0.653333,-0.146667
cause_and_effect,flan-t5-large,3,3,3,42 | 43 | 44,0.546667,0.653333,-0.106667
cause_and_effect,flan-t5-large,4,3,3,42 | 43 | 44,0.493333,0.653333,-0.16
cause_and_effect,flan-t5-large,5,3,3,42 | 43 | 44,0.56,0.653333,-0.093333
cause_and_effect,flan-t5-large,6,3,3,42 | 43 | 44,0.533333,0.653333,-0.12
cause_and_effect,flan-t5-large,7,3,3,42 | 43 | 44,0.533333,0.653333,-0.12
cause_and_effect,flan-t5-large,8,3,3,42 | 43 | 44,0.426667,0.653333,-0.226667
cause_and_effect,flan-t5-large,9,3,3,42 | 43 | 44,0.56,0.653333,-0.093333
cause_and_effect,flan-t5-large,10,3,3,42 | 43 | 44,0.48,0.653333,-0.173333
common_concept,flan-t5-large,1,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,2,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,3,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,4,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,5,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,6,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,7,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,8,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,9,3,3,42 | 43 | 44,0.0,0.0,0.0
common_concept,flan-t5-large,10,3,3,42 | 43 | 44,0.0,0.0,0.0
diff,flan-t5-large,1,3,3,42 | 43 | 44,0.04,0.05,-0.01
diff,flan-t5-large,2,3,3,42 | 43 | 44,0.02,0.05,-0.03
diff,flan-t5-large,3,3,3,42 | 43 | 44,0.02,0.05,-0.03
diff,flan-t5-large,4,3,3,42 | 43 | 44,0.04,0.05,-0.01
diff,flan-t5-large,5,3,3,42 | 43 | 44,0.03,0.05,-0.02
diff,flan-t5-large,6,3,3,42 | 43 | 44,0.03,0.05,-0.02
diff,flan-t5-large,7,3,3,42 | 43 | 44,0.02,0.05,-0.03
diff,flan-t5-large,8,3,3,42 | 43 | 44,0.02,0.05,-0.03
diff,flan-t5-large,9,3,3,42 | 43 | 44,0.04,0.05,-0.01
diff,flan-t5-large,10,3,3,42 | 43 | 44,0.03,0.05,-0.02
first_word_letter,flan-t5-large,1,3,3,42 | 43 | 44,1.0,1.0,0.0
first_word_letter,flan-t5-large,2,3,3,42 | 43 | 44,1.0,1.0,0.0
first_word_letter,flan-t5-large,3,3,3,42 | 43 | 44,0.95,1.0,-0.05
first_word_letter,flan-t5-large,4,3,3,42 | 43 | 44,1.0,1.0,0.0
first_word_letter,flan-t5-large,5,3,3,42 | 43 | 44,1.0,1.0,0.0
first_word_letter,flan-t5-large,6,3,3,42 | 43 | 44,1.0,1.0,0.0
first_word_letter,flan-t5-large,7,3,3,42 | 43 | 44,0.98,1.0,-0.02
first_word_letter,flan-t5-large,8,3,3,42 | 43 | 44,0.99,1.0,-0.01
first_word_letter,flan-t5-large,9,3,3,42 | 43 | 44,1.0,1.0,0.0
first_word_letter,flan-t5-large,10,3,3,42 | 43 | 44,0.98,1.0,-0.02
informal_to_formal,flan-t5-large,1,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,2,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,3,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,4,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,5,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,6,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,7,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,8,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,9,3,3,42 | 43 | 44,0.437367,0.437367,0.0
informal_to_formal,flan-t5-large,10,3,3,42 | 43 | 44,0.437367,0.437367,0.0
larger_animal,flan-t5-large,1,3,3,42 | 43 | 44,0.68,0.71,-0.03
larger_animal,flan-t5-large,2,3,3,42 | 43 | 44,0.68,0.71,-0.03
larger_animal,flan-t5-large,3,3,3,42 | 43 | 44,0.68,0.71,-0.03
larger_animal,flan-t5-large,4,3,3,42 | 43 | 44,0.64,0.71,-0.07
larger_animal,flan-t5-large,5,3,3,42 | 43 | 44,0.65,0.71,-0.06
larger_animal,flan-t5-large,6,3,3,42 | 43 | 44,0.69,0.71,-0.02
larger_animal,flan-t5-large,7,3,3,42 | 43 | 44,0.65,0.71,-0.06
larger_animal,flan-t5-large,8,3,3,42 | 43 | 44,0.65,0.71,-0.06
larger_animal,flan-t5-large,9,3,3,42 | 43 | 44,0.72,0.71,0.01
larger_animal,flan-t5-large,10,3,3,42 | 43 | 44,0.68,0.71,-0.03
letters_list,flan-t5-large,1,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,2,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,3,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,4,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,5,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,6,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,7,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,8,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,9,3,3,42 | 43 | 44,0.0,0.0,0.0
letters_list,flan-t5-large,10,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,1,3,3,42 | 43 | 44,0.01,0.0,0.01
negation,flan-t5-large,2,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,3,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,4,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,5,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,6,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,7,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,8,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,9,3,3,42 | 43 | 44,0.0,0.0,0.0
negation,flan-t5-large,10,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,1,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,2,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,3,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,4,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,5,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,6,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,7,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,8,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,9,3,3,42 | 43 | 44,0.0,0.0,0.0
num_to_verbal,flan-t5-large,10,3,3,42 | 43 | 44,0.0,0.0,0.0
orthography_starts_with,flan-t5-large,1,3,3,42 | 43 | 44,0.04,0.02,0.02
orthography_starts_with,flan-t5-large,2,3,3,42 | 43 | 44,0.05,0.02,0.03
orthography_starts_with,flan-t5-large,3,3,3,42 | 43 | 44,0.04,0.02,0.02
orthography_starts_with,flan-t5-large,4,3,3,42 | 43 | 44,0.05,0.02,0.03
orthography_starts_with,flan-t5-large,5,3,3,42 | 43 | 44,0.05,0.02,0.03
orthography_starts_with,flan-t5-large,6,3,3,42 | 43 | 44,0.09,0.02,0.07
orthography_starts_with,flan-t5-large,7,3,3,42 | 43 | 44,0.05,0.02,0.03
orthography_starts_with,flan-t5-large,8,3,3,42 | 43 | 44,0.07,0.02,0.05
orthography_starts_with,flan-t5-large,9,3,3,42 | 43 | 44,0.07,0.02,0.05
orthography_starts_with,flan-t5-large,10,3,3,42 | 43 | 44,0.07,0.02,0.05
rhymes,flan-t5-large,1,3,3,42 | 43 | 44,0.28,0.19,0.09
rhymes,flan-t5-large,2,3,3,42 | 43 | 44,0.28,0.19,0.09
rhymes,flan-t5-large,3,3,3,42 | 43 | 44,0.21,0.19,0.02
rhymes,flan-t5-large,4,3,3,42 | 43 | 44,0.28,0.19,0.09
rhymes,flan-t5-large,5,3,3,42 | 43 | 44,0.25,0.19,0.06
rhymes,flan-t5-large,6,3,3,42 | 43 | 44,0.3,0.19,0.11
rhymes,flan-t5-large,7,3,3,42 | 43 | 44,0.26,0.19,0.07
rhymes,flan-t5-large,8,3,3,42 | 43 | 44,0.31,0.19,0.12
rhymes,flan-t5-large,9,3,3,42 | 43 | 44,0.26,0.19,0.07
rhymes,flan-t5-large,10,3,3,42 | 43 | 44,0.22,0.19,0.03
second_word_letter,flan-t5-large,1,3,3,42 | 43 | 44,1.0,1.0,0.0
second_word_letter,flan-t5-large,2,3,3,42 | 43 | 44,0.97,1.0,-0.03
second_word_letter,flan-t5-large,3,3,3,42 | 43 | 44,0.76,1.0,-0.24
second_word_letter,flan-t5-large,4,3,3,42 | 43 | 44,1.0,1.0,0.0
second_word_letter,flan-t5-large,5,3,3,42 | 43 | 44,0.98,1.0,-0.02
second_word_letter,flan-t5-large,6,3,3,42 | 43 | 44,1.0,1.0,0.0
