task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score
sentiment,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.93
sum,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.02
sum,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.02
sentiment,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.93
sentiment,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.93
sentiment,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.93
sentiment,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.93
cause_and_effect,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.52
cause_and_effect,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.6
cause_and_effect,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.52
cause_and_effect,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.64
cause_and_effect,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.64
cause_and_effect,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.48
sum,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.02
sum,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.02
sum,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.02
sum,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.02
sum,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.02
sum,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.02
sentence_similarity,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.59
sentence_similarity,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.59
sentence_similarity,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.59
sentence_similarity,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.56
sentence_similarity,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.56
sentence_similarity,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.56
word_in_context,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.56
word_in_context,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.56
word_in_context,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.56
word_in_context,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.47
word_in_context,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.47
word_in_context,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.47
active_to_passive,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.06
active_to_passive,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.06
active_to_passive,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.06
active_to_passive,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.02
active_to_passive,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.02
active_to_passive,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.02
antonyms,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.56
antonyms,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.56
antonyms,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.56
antonyms,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.55
antonyms,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.55
antonyms,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.55
cause_and_effect,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.52
cause_and_effect,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.6
cause_and_effect,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.52
cause_and_effect,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.64
cause_and_effect,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.64
cause_and_effect,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.48
common_concept,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.0
common_concept,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.0
common_concept,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.0
common_concept,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.0
common_concept,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.0
common_concept,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.0
diff,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.06
diff,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.06
diff,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.06
diff,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.04
diff,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.04
diff,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.04
first_word_letter,flan-t5-large,competence_threat,1,0,False,42,0.0,False,1.0
first_word_letter,flan-t5-large,competence_threat,1,0,False,43,0.0,False,1.0
first_word_letter,flan-t5-large,competence_threat,1,0,False,44,0.0,False,1.0
first_word_letter,flan-t5-large,competence_threat,2,0,False,42,0.0,False,1.0
first_word_letter,flan-t5-large,competence_threat,2,0,False,43,0.0,False,1.0
first_word_letter,flan-t5-large,competence_threat,2,0,False,44,0.0,False,1.0
informal_to_formal,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.43736670736670735
informal_to_formal,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.4373667073667074
informal_to_formal,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.4373667073667073
informal_to_formal,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.4484778184778184
informal_to_formal,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.4484778184778185
informal_to_formal,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.4484778184778185
larger_animal,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.74
larger_animal,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.74
larger_animal,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.74
larger_animal,flan-t5-large,competence_threat,2,0,False,42,0.0,False,0.65
larger_animal,flan-t5-large,competence_threat,2,0,False,43,0.0,False,0.65
larger_animal,flan-t5-large,competence_threat,2,0,False,44,0.0,False,0.65
letters_list,flan-t5-large,competence_threat,1,0,False,42,0.0,False,0.0
letters_list,flan-t5-large,competence_threat,1,0,False,43,0.0,False,0.0
letters_list,flan-t5-large,competence_threat,1,0,False,44,0.0,False,0.0
