task,task_family,model,stimulus_group,mean_score,delta_vs_baseline,negative_original_delta_vs_baseline,delta_h3_minus_negative_original
active_to_passive,rewriting_transformation,flan-t5-large,competence_threat,0.04,0.01,-0.027,0.037
active_to_passive,rewriting_transformation,flan-t5-large,inconsistency,0.04,0.01,-0.027,0.037
active_to_passive,rewriting_transformation,flan-t5-large,regret,0.015,-0.015,-0.027,0.012
active_to_passive,rewriting_transformation,flan-t5-large,social_comparison,0.035,0.005,-0.027,0.032
active_to_passive,rewriting_transformation,flan-t5-large,urgency,0.035,0.005,-0.027,0.032
antonyms,lexical_semantics,flan-t5-large,competence_threat,0.555,-0.005,-0.015,0.01
antonyms,lexical_semantics,flan-t5-large,inconsistency,0.54,-0.02,-0.015,-0.005
antonyms,lexical_semantics,flan-t5-large,regret,0.545,-0.015,-0.015,0.0
antonyms,lexical_semantics,flan-t5-large,social_comparison,0.55,-0.01,-0.015,0.005
antonyms,lexical_semantics,flan-t5-large,urgency,0.535,-0.025,-0.015,-0.01
cause_and_effect,causal_reasoning,flan-t5-large,competence_threat,0.566667,-0.086666,-0.130666,0.044
cause_and_effect,causal_reasoning,flan-t5-large,inconsistency,0.546667,-0.106666,-0.130666,0.024
cause_and_effect,causal_reasoning,flan-t5-large,regret,0.533333,-0.12,-0.130666,0.010666
cause_and_effect,causal_reasoning,flan-t5-large,social_comparison,0.633333,-0.02,-0.130666,0.110666
cause_and_effect,causal_reasoning,flan-t5-large,urgency,0.573333,-0.08,-0.130666,0.050666
common_concept,semantic_abstraction,flan-t5-large,competence_threat,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,flan-t5-large,inconsistency,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,flan-t5-large,regret,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,flan-t5-large,social_comparison,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,flan-t5-large,urgency,0.0,0.0,0.0,0.0
diff,numerical_reasoning,flan-t5-large,competence_threat,0.05,0.0,-0.021,0.021
diff,numerical_reasoning,flan-t5-large,inconsistency,0.045,-0.005,-0.021,0.016
diff,numerical_reasoning,flan-t5-large,regret,0.035,-0.015,-0.021,0.006
diff,numerical_reasoning,flan-t5-large,social_comparison,0.04,-0.01,-0.021,0.011
diff,numerical_reasoning,flan-t5-large,urgency,0.035,-0.015,-0.021,0.006
first_word_letter,string_extraction,flan-t5-large,competence_threat,1.0,0.0,-0.01,0.01
first_word_letter,string_extraction,flan-t5-large,inconsistency,0.995,-0.005,-0.01,0.005
first_word_letter,string_extraction,flan-t5-large,regret,1.0,0.0,-0.01,0.01
first_word_letter,string_extraction,flan-t5-large,social_comparison,1.0,0.0,-0.01,0.01
first_word_letter,string_extraction,flan-t5-large,urgency,1.0,0.0,-0.01,0.01
informal_to_formal,rewriting_transformation,flan-t5-large,competence_threat,0.442922,0.005555,0.0,0.005555
informal_to_formal,rewriting_transformation,flan-t5-large,inconsistency,0.406186,-0.031181,0.0,-0.031181
informal_to_formal,rewriting_transformation,flan-t5-large,regret,0.435515,-0.001852,0.0,-0.001852
informal_to_formal,rewriting_transformation,flan-t5-large,social_comparison,0.435515,-0.001852,0.0,-0.001852
informal_to_formal,rewriting_transformation,flan-t5-large,urgency,0.437367,0.0,0.0,0.0
larger_animal,comparative_reasoning,flan-t5-large,competence_threat,0.695,-0.015,-0.038,0.023
larger_animal,comparative_reasoning,flan-t5-large,inconsistency,0.685,-0.025,-0.038,0.013
larger_animal,comparative_reasoning,flan-t5-large,regret,0.67,-0.04,-0.038,-0.002
larger_animal,comparative_reasoning,flan-t5-large,social_comparison,0.65,-0.06,-0.038,-0.022
larger_animal,comparative_reasoning,flan-t5-large,urgency,0.665,-0.045,-0.038,-0.007
letters_list,string_transformation,flan-t5-large,competence_threat,0.0,0.0,0.0,0.0
letters_list,string_transformation,flan-t5-large,inconsistency,0.0,0.0,0.0,0.0
letters_list,string_transformation,flan-t5-large,regret,0.0,0.0,0.0,0.0
letters_list,string_transformation,flan-t5-large,social_comparison,0.0,0.0,0.0,0.0
letters_list,string_transformation,flan-t5-large,urgency,0.0,0.0,0.0,0.0
negation,rewriting_transformation,flan-t5-large,competence_threat,0.005,0.005,0.001,0.004
negation,rewriting_transformation,flan-t5-large,inconsistency,0.0,0.0,0.001,-0.001
negation,rewriting_transformation,flan-t5-large,regret,0.0,0.0,0.001,-0.001
negation,rewriting_transformation,flan-t5-large,social_comparison,0.03,0.03,0.001,0.029
