task,task_family,stimulus_group,model,n_runs,mean_score,std_score,baseline_score,delta_vs_baseline
active_to_passive,rewriting_transformation,baseline,flan-t5-large,3,0.03,0.0,0.03,0.0
active_to_passive,rewriting_transformation,competence_threat,flan-t5-large,6,0.04,0.02,0.03,0.01
active_to_passive,rewriting_transformation,inconsistency,flan-t5-large,6,0.04,0.03,0.03,0.01
active_to_passive,rewriting_transformation,negative_original,flan-t5-large,30,0.003,0.004583,0.03,-0.027
active_to_passive,rewriting_transformation,regret,flan-t5-large,6,0.015,0.005,0.03,-0.015
active_to_passive,rewriting_transformation,social_comparison,flan-t5-large,6,0.035,0.005,0.03,0.005
active_to_passive,rewriting_transformation,urgency,flan-t5-large,6,0.035,0.005,0.03,0.005
antonyms,lexical_semantics,baseline,flan-t5-large,3,0.56,0.0,0.56,0.0
antonyms,lexical_semantics,competence_threat,flan-t5-large,6,0.555,0.005,0.56,-0.005
antonyms,lexical_semantics,inconsistency,flan-t5-large,6,0.54,0.0,0.56,-0.02
antonyms,lexical_semantics,negative_original,flan-t5-large,30,0.545,0.016279,0.56,-0.015
antonyms,lexical_semantics,regret,flan-t5-large,6,0.545,0.005,0.56,-0.015
antonyms,lexical_semantics,social_comparison,flan-t5-large,6,0.55,0.01,0.56,-0.01
antonyms,lexical_semantics,urgency,flan-t5-large,6,0.535,0.015,0.56,-0.025
cause_and_effect,causal_reasoning,baseline,flan-t5-large,3,0.653333,0.067987,0.653333,0.0
cause_and_effect,causal_reasoning,competence_threat,flan-t5-large,6,0.566667,0.062893,0.653333,-0.086666
cause_and_effect,causal_reasoning,inconsistency,flan-t5-large,6,0.546667,0.082192,0.653333,-0.106666
cause_and_effect,causal_reasoning,negative_original,flan-t5-large,30,0.522667,0.07861,0.653333,-0.130666
cause_and_effect,causal_reasoning,regret,flan-t5-large,6,0.533333,0.067987,0.653333,-0.12
cause_and_effect,causal_reasoning,social_comparison,flan-t5-large,6,0.633333,0.070868,0.653333,-0.02
cause_and_effect,causal_reasoning,urgency,flan-t5-large,6,0.573333,0.067987,0.653333,-0.08
common_concept,semantic_abstraction,baseline,flan-t5-large,3,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,competence_threat,flan-t5-large,6,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,inconsistency,flan-t5-large,6,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,negative_original,flan-t5-large,30,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,regret,flan-t5-large,6,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,social_comparison,flan-t5-large,6,0.0,0.0,0.0,0.0
common_concept,semantic_abstraction,urgency,flan-t5-large,6,0.0,0.0,0.0,0.0
diff,numerical_reasoning,baseline,flan-t5-large,3,0.05,0.0,0.05,0.0
diff,numerical_reasoning,competence_threat,flan-t5-large,6,0.05,0.01,0.05,0.0
diff,numerical_reasoning,inconsistency,flan-t5-large,6,0.045,0.015,0.05,-0.005
diff,numerical_reasoning,negative_original,flan-t5-large,30,0.029,0.008307,0.05,-0.021
diff,numerical_reasoning,regret,flan-t5-large,6,0.035,0.005,0.05,-0.015
diff,numerical_reasoning,social_comparison,flan-t5-large,6,0.04,0.0,0.05,-0.01
diff,numerical_reasoning,urgency,flan-t5-large,6,0.035,0.005,0.05,-0.015
first_word_letter,string_extraction,baseline,flan-t5-large,3,1.0,0.0,1.0,0.0
first_word_letter,string_extraction,competence_threat,flan-t5-large,6,1.0,0.0,1.0,0.0
first_word_letter,string_extraction,inconsistency,flan-t5-large,6,0.995,0.005,1.0,-0.005
first_word_letter,string_extraction,negative_original,flan-t5-large,30,0.99,0.015492,1.0,-0.01
first_word_letter,string_extraction,regret,flan-t5-large,6,1.0,0.0,1.0,0.0
first_word_letter,string_extraction,social_comparison,flan-t5-large,6,1.0,0.0,1.0,0.0
first_word_letter,string_extraction,urgency,flan-t5-large,6,1.0,0.0,1.0,0.0
informal_to_formal,rewriting_transformation,baseline,flan-t5-large,3,0.437367,0.0,0.437367,0.0
informal_to_formal,rewriting_transformation,competence_threat,flan-t5-large,6,0.442922,0.005556,0.437367,0.005555
informal_to_formal,rewriting_transformation,inconsistency,flan-t5-large,6,0.406186,0.027477,0.437367,-0.031181
informal_to_formal,rewriting_transformation,negative_original,flan-t5-large,30,0.437367,0.0,0.437367,0.0
informal_to_formal,rewriting_transformation,regret,flan-t5-large,6,0.435515,0.001852,0.437367,-0.001852
informal_to_formal,rewriting_transformation,social_comparison,flan-t5-large,6,0.435515,0.001852,0.437367,-0.001852
informal_to_formal,rewriting_transformation,urgency,flan-t5-large,6,0.437367,0.0,0.437367,0.0
larger_animal,comparative_reasoning,baseline,flan-t5-large,3,0.71,0.0,0.71,0.0
larger_animal,comparative_reasoning,competence_threat,flan-t5-large,6,0.695,0.045,0.71,-0.015
larger_animal,comparative_reasoning,inconsistency,flan-t5-large,6,0.685,0.005,0.71,-0.025
larger_animal,comparative_reasoning,negative_original,flan-t5-large,30,0.672,0.023152,0.71,-0.038
larger_animal,comparative_reasoning,regret,flan-t5-large,6,0.67,0.01,0.71,-0.04
larger_animal,comparative_reasoning,social_comparison,flan-t5-large,6,0.65,0.02,0.71,-0.06
larger_animal,comparative_reasoning,urgency,flan-t5-large,6,0.665,0.025,0.71,-0.045
letters_list,string_transformation,baseline,flan-t5-large,3,0.0,0.0,0.0,0.0
letters_list,string_transformation,competence_threat,flan-t5-large,6,0.0,0.0,0.0,0.0
letters_list,string_transformation,inconsistency,flan-t5-large,6,0.0,0.0,0.0,0.0
letters_list,string_transformation,negative_original,flan-t5-large,30,0.0,0.0,0.0,0.0
letters_list,string_transformation,regret,flan-t5-large,6,0.0,0.0,0.0,0.0
letters_list,string_transformation,social_comparison,flan-t5-large,6,0.0,0.0,0.0,0.0
letters_list,string_transformation,urgency,flan-t5-large,6,0.0,0.0,0.0,0.0
negation,rewriting_transformation,baseline,flan-t5-large,3,0.0,0.0,0.0,0.0
negation,rewriting_transformation,competence_threat,flan-t5-large,6,0.005,0.005,0.0,0.005
negation,rewriting_transformation,inconsistency,flan-t5-large,6,0.0,0.0,0.0,0.0
negation,rewriting_transformation,negative_original,flan-t5-large,30,0.001,0.003,0.0,0.001
negation,rewriting_transformation,regret,flan-t5-large,6,0.0,0.0,0.0,0.0
negation,rewriting_transformation,social_comparison,flan-t5-large,6,0.03,0.02,0.0,0.03
negation,rewriting_transformation,urgency,flan-t5-large,6,0.015,0.015,0.0,0.015
num_to_verbal,numerical_verbalization,baseline,flan-t5-large,3,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,competence_threat,flan-t5-large,6,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,inconsistency,flan-t5-large,6,0.0,0.0,0.0,0.0
