task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score,run_time_seconds,avg_time_per_sample_seconds
active_to_passive,flan-t5-large,positive,1,0,False,42,0.0,False,0.02,26.280,0.263
active_to_passive,flan-t5-large,positive,2,0,False,42,0.0,False,0.02,25.794,0.258
active_to_passive,flan-t5-large,positive,3,0,False,42,0.0,False,0.05,26.025,0.260
active_to_passive,flan-t5-large,positive,4,0,False,42,0.0,False,0.03,25.676,0.257
antonyms,flan-t5-large,positive,1,0,False,42,0.0,False,0.56,13.335,0.133
antonyms,flan-t5-large,positive,2,0,False,42,0.0,False,0.56,13.039,0.130
antonyms,flan-t5-large,positive,3,0,False,42,0.0,False,0.59,13.174,0.132
antonyms,flan-t5-large,positive,4,0,False,42,0.0,False,0.53,13.397,0.134
cause_and_effect,flan-t5-large,positive,1,0,False,42,0.0,False,0.6,9.531,0.381
cause_and_effect,flan-t5-large,positive,2,0,False,42,0.0,False,0.56,9.387,0.375
cause_and_effect,flan-t5-large,positive,3,0,False,42,0.0,False,0.52,9.590,0.384
cause_and_effect,flan-t5-large,positive,4,0,False,42,0.0,False,0.68,9.128,0.365
common_concept,flan-t5-large,positive,1,0,False,42,0.0,False,0.0,4.896,0.306
common_concept,flan-t5-large,positive,2,0,False,42,0.0,False,0.0,4.777,0.299
common_concept,flan-t5-large,positive,3,0,False,42,0.0,False,0.0,4.805,0.300
common_concept,flan-t5-large,positive,4,0,False,42,0.0,False,0.0,4.932,0.308
diff,flan-t5-large,positive,1,0,False,42,0.0,False,0.03,13.103,0.131
diff,flan-t5-large,positive,2,0,False,42,0.0,False,0.04,13.037,0.130
diff,flan-t5-large,positive,3,0,False,42,0.0,False,0.03,13.125,0.131
diff,flan-t5-large,positive,4,0,False,42,0.0,False,0.03,12.978,0.130
first_word_letter,flan-t5-large,positive,1,0,False,42,0.0,False,1.0,11.324,0.113
first_word_letter,flan-t5-large,positive,2,0,False,42,0.0,False,1.0,11.407,0.114
first_word_letter,flan-t5-large,positive,3,0,False,42,0.0,False,1.0,11.442,0.114
first_word_letter,flan-t5-large,positive,4,0,False,42,0.0,False,1.0,11.399,0.114
informal_to_formal,flan-t5-large,positive,1,0,False,42,0.0,False,0.0,7.108,0.474
informal_to_formal,flan-t5-large,positive,2,0,False,42,0.0,False,0.0,7.046,0.470
informal_to_formal,flan-t5-large,positive,3,0,False,42,0.0,False,0.0,7.094,0.473
informal_to_formal,flan-t5-large,positive,4,0,False,42,0.0,False,0.0,7.110,0.474
larger_animal,flan-t5-large,positive,1,0,False,42,0.0,False,0.66,16.583,0.166
larger_animal,flan-t5-large,positive,2,0,False,42,0.0,False,0.73,16.439,0.164
larger_animal,flan-t5-large,positive,3,0,False,42,0.0,False,0.69,16.761,0.168
larger_animal,flan-t5-large,positive,4,0,False,42,0.0,False,0.68,16.534,0.165
letters_list,flan-t5-large,positive,1,0,False,42,0.0,False,0.0,11.371,0.114
letters_list,flan-t5-large,positive,2,0,False,42,0.0,False,0.0,11.561,0.116
letters_list,flan-t5-large,positive,3,0,False,42,0.0,False,0.0,11.390,0.114
letters_list,flan-t5-large,positive,4,0,False,42,0.0,False,0.0,11.456,0.115
negation,flan-t5-large,positive,1,0,False,42,0.0,False,0.02,39.822,0.398
negation,flan-t5-large,positive,2,0,False,42,0.0,False,0.0,29.489,0.295
negation,flan-t5-large,positive,3,0,False,42,0.0,False,0.03,32.814,0.328
negation,flan-t5-large,positive,4,0,False,42,0.0,False,0.03,34.283,0.343
num_to_verbal,flan-t5-large,positive,1,0,False,42,0.0,False,0.0,13.952,0.140
num_to_verbal,flan-t5-large,positive,2,0,False,42,0.0,False,0.0,13.914,0.139
num_to_verbal,flan-t5-large,positive,3,0,False,42,0.0,False,0.0,14.053,0.141
num_to_verbal,flan-t5-large,positive,4,0,False,42,0.0,False,0.0,14.067,0.141
orthography_starts_with,flan-t5-large,positive,1,0,False,42,0.0,False,0.12,23.967,0.240
orthography_starts_with,flan-t5-large,positive,2,0,False,42,0.0,False,0.12,25.017,0.250
orthography_starts_with,flan-t5-large,positive,3,0,False,42,0.0,False,0.15,21.134,0.211
orthography_starts_with,flan-t5-large,positive,4,0,False,42,0.0,False,0.09,23.238,0.232
rhymes,flan-t5-large,positive,1,0,False,42,0.0,False,0.17,17.336,0.173
rhymes,flan-t5-large,positive,2,0,False,42,0.0,False,0.21,17.841,0.178
rhymes,flan-t5-large,positive,3,0,False,42,0.0,False,0.25,17.306,0.173
rhymes,flan-t5-large,positive,4,0,False,42,0.0,False,0.17,18.010,0.180
second_word_letter,flan-t5-large,positive,1,0,False,42,0.0,False,1.0,11.482,0.115
second_word_letter,flan-t5-large,positive,2,0,False,42,0.0,False,1.0,11.354,0.114
second_word_letter,flan-t5-large,positive,3,0,False,42,0.0,False,0.95,11.172,0.112
second_word_letter,flan-t5-large,positive,4,0,False,42,0.0,False,1.0,11.378,0.114
sentiment,flan-t5-large,positive,1,0,False,42,0.0,False,0.93,10.623,0.106
sentiment,flan-t5-large,positive,2,0,False,42,0.0,False,0.93,10.653,0.107
sentiment,flan-t5-large,positive,3,0,False,42,0.0,False,0.93,10.812,0.108
sentiment,flan-t5-large,positive,4,0,False,42,0.0,False,0.93,10.741,0.107
singular_to_plural,flan-t5-large,positive,1,0,False,42,0.0,False,0.29,11.959,0.120
singular_to_plural,flan-t5-large,positive,2,0,False,42,0.0,False,0.28,12.214,0.122
