prompt_source,benchmark,model,stimulus_group,task_family,n_rows,n_unique_tasks,n_seeds,seeds,n_stimuli,stimulus_indices,mean_score,std_score,delta_vs_baseline,tasks
ape,instruction_induction,flan-t5-large,baseline,sentiment_classification,1,1,1,42,0,,0.93,0.0,0.0,sentiment
ape,instruction_induction,flan-t5-large,neutral,sentiment_classification,1,1,1,42,1,1,0.93,0.0,0.0,sentiment
base,instruction_induction,flan-t5-large,baseline,causal_reasoning,3,1,3,42 | 43 | 44,0,,0.653333,0.067987,-0.0,cause_and_effect
base,instruction_induction,flan-t5-large,baseline,commonsense_knowledge,3,1,3,42 | 43 | 44,0,,0.71,0.0,0.0,larger_animal
base,instruction_induction,flan-t5-large,baseline,lexical_semantics,9,3,3,42 | 43 | 44,0,,0.403333,0.243082,-0.0,antonyms | synonyms | word_in_context
base,instruction_induction,flan-t5-large,baseline,morphosyntax,9,3,3,42 | 43 | 44,0,,0.136667,0.172498,0.0,active_to_passive | negation | singular_to_plural
base,instruction_induction,flan-t5-large,baseline,multilingual_translation,9,3,3,42 | 43 | 44,0,,0.323333,0.122837,-0.0,translation_en-de | translation_en-es | translation_en-fr
base,instruction_induction,flan-t5-large,baseline,numerical_reasoning,9,3,3,42 | 43 | 44,0,,0.026667,0.020548,0.0,diff | num_to_verbal | sum
base,instruction_induction,flan-t5-large,baseline,orthography_spelling,12,4,3,42 | 43 | 44,0,,0.505,0.495051,0.0,first_word_letter | letters_list | orthography_starts_with | second_word_letter
base,instruction_induction,flan-t5-large,baseline,phonology,3,1,3,42 | 43 | 44,0,,0.19,0.0,-0.0,rhymes
base,instruction_induction,flan-t5-large,baseline,semantic_abstraction,3,1,3,42 | 43 | 44,0,,0.0,0.0,0.0,common_concept
base,instruction_induction,flan-t5-large,baseline,semantic_classification,3,1,3,42 | 43 | 44,0,,0.12,0.0,0.0,taxonomy_animal
base,instruction_induction,flan-t5-large,baseline,semantic_similarity,3,1,3,42 | 43 | 44,0,,0.56,0.0,0.0,sentence_similarity
base,instruction_induction,flan-t5-large,baseline,sentiment_classification,3,1,3,42 | 43 | 44,0,,0.93,0.0,0.0,sentiment
base,instruction_induction,flan-t5-large,baseline,style_register,3,1,3,42 | 43 | 44,0,,0.437367,0.0,0.0,informal_to_formal
base,instruction_induction,flan-t5-large,competence_threat,causal_reasoning,6,1,3,42 | 43 | 44,2,1 | 2,0.566667,0.062893,-0.086666,cause_and_effect
