task,task_family,mean_negative_original_score,baseline_score,delta_negative_original_vs_baseline,direction
singular_to_plural,morphology,0.128,0.38,-0.252,worse_than_baseline
cause_and_effect,causal_reasoning,0.522667,0.653333,-0.130666,worse_than_baseline
rhymes,lexical_generation,0.265,0.19,0.075,better_than_baseline
translation_en-es,translation,0.367,0.42,-0.053,worse_than_baseline
second_word_letter,string_extraction,0.951,1.0,-0.049,worse_than_baseline
larger_animal,comparative_reasoning,0.672,0.71,-0.038,worse_than_baseline
orthography_starts_with,string_filtering,0.058,0.02,0.038,better_than_baseline
translation_en-de,translation,0.185,0.15,0.035,better_than_baseline
active_to_passive,rewriting_transformation,0.003,0.03,-0.027,worse_than_baseline
diff,numerical_reasoning,0.029,0.05,-0.021,worse_than_baseline
translation_en-fr,translation,0.382,0.4,-0.018,worse_than_baseline
taxonomy_animal,semantic_filtering,0.104,0.12,-0.016,worse_than_baseline
antonyms,lexical_semantics,0.545,0.56,-0.015,worse_than_baseline
sentence_similarity,semantic_similarity,0.575,0.56,0.015,better_than_baseline
synonyms,lexical_semantics,0.048,0.06,-0.012,worse_than_baseline
first_word_letter,string_extraction,0.99,1.0,-0.01,worse_than_baseline
sum,numerical_reasoning,0.021,0.03,-0.009,worse_than_baseline
sentiment,sentiment_classification,0.935,0.93,0.005,better_than_baseline
word_in_context,lexical_semantics,0.585,0.59,-0.005,worse_than_baseline
negation,rewriting_transformation,0.001,0.0,0.001,better_than_baseline
common_concept,semantic_abstraction,0.0,0.0,0.0,equal_to_baseline
informal_to_formal,rewriting_transformation,0.437367,0.437367,0.0,equal_to_baseline
letters_list,string_transformation,0.0,0.0,0.0,equal_to_baseline
num_to_verbal,numerical_verbalization,0.0,0.0,0.0,equal_to_baseline
