model,stimulus_group,task,task_family,mean_score,std_score,delta_vs_baseline,n_seeds,n_stimuli
flan-t5-large,competence_threat,cause_and_effect,causal_reasoning,0.566667,0.062893,-0.086666,3,2
flan-t5-large,competence_threat,word_in_context,lexical_semantics,0.515,0.045,-0.075,3,2
flan-t5-large,competence_threat,sum,numerical_reasoning,0.02,0.0,-0.01,3,2
flan-t5-large,competence_threat,sentence_similarity,semantic_similarity,0.575,0.015,0.015,3,2
flan-t5-large,competence_threat,sentiment,sentiment_classification,0.93,0.0,0.0,3,2
flan-t5-large,inconsistency,cause_and_effect,causal_reasoning,0.546667,0.082192,-0.106666,3,2
flan-t5-large,inconsistency,word_in_context,lexical_semantics,0.53,0.02,-0.06,3,2
flan-t5-large,inconsistency,sum,numerical_reasoning,0.025,0.005,-0.005,3,2
flan-t5-large,inconsistency,sentence_similarity,semantic_similarity,0.585,0.005,0.025,3,2
flan-t5-large,inconsistency,sentiment,sentiment_classification,0.935,0.005,0.005,3,2
flan-t5-large,negative_original,sum,numerical_reasoning,0.02,0.0,-0.01,3,0
flan-t5-large,negative_original,sentiment,sentiment_classification,0.93,0.0,0.0,3,0
flan-t5-large,regret,cause_and_effect,causal_reasoning,0.533333,0.067987,-0.12,3,2
flan-t5-large,regret,word_in_context,lexical_semantics,0.55,0.01,-0.04,3,2
flan-t5-large,regret,sum,numerical_reasoning,0.02,0.0,-0.01,3,2
flan-t5-large,regret,sentence_similarity,semantic_similarity,0.565,0.005,0.005,3,2
flan-t5-large,regret,sentiment,sentiment_classification,0.93,0.0,0.0,3,2
flan-t5-large,social_comparison,cause_and_effect,causal_reasoning,0.633333,0.070868,-0.02,3,2
flan-t5-large,social_comparison,word_in_context,lexical_semantics,0.525,0.035,-0.065,3,2
flan-t5-large,social_comparison,sum,numerical_reasoning,0.02,0.0,-0.01,3,2
flan-t5-large,social_comparison,sentence_similarity,semantic_similarity,0.565,0.005,0.005,3,2
flan-t5-large,social_comparison,sentiment,sentiment_classification,0.93,0.0,0.0,3,2
flan-t5-large,urgency,cause_and_effect,causal_reasoning,0.573333,0.067987,-0.08,3,2
flan-t5-large,urgency,word_in_context,lexical_semantics,0.525,0.025,-0.065,3,2
flan-t5-large,urgency,sum,numerical_reasoning,0.02,0.0,-0.01,3,2
flan-t5-large,urgency,sentence_similarity,semantic_similarity,0.57,0.01,0.01,3,2
flan-t5-large,urgency,sentiment,sentiment_classification,0.93,0.0,0.0,3,2
