task,model,n_negative_prompts,mean_negative_original_score,baseline_score,delta_vs_baseline
active_to_passive,flan-t5-large,10,0.003,0.03,-0.027
antonyms,flan-t5-large,10,0.545,0.56,-0.015
cause_and_effect,flan-t5-large,10,0.522667,0.653333,-0.130666
common_concept,flan-t5-large,10,0.0,0.0,0.0
diff,flan-t5-large,10,0.029,0.05,-0.021
first_word_letter,flan-t5-large,10,0.99,1.0,-0.01
informal_to_formal,flan-t5-large,10,0.437367,0.437367,-0.0
larger_animal,flan-t5-large,10,0.672,0.71,-0.038
letters_list,flan-t5-large,10,0.0,0.0,0.0
negation,flan-t5-large,10,0.001,0.0,0.001
num_to_verbal,flan-t5-large,10,0.0,0.0,0.0
orthography_starts_with,flan-t5-large,10,0.058,0.02,0.038
rhymes,flan-t5-large,10,0.265,0.19,0.075
second_word_letter,flan-t5-large,10,0.951,1.0,-0.049
sentence_similarity,flan-t5-large,10,0.575,0.56,0.015
sentiment,flan-t5-large,10,0.935,0.93,0.005
singular_to_plural,flan-t5-large,10,0.128,0.38,-0.252
sum,flan-t5-large,10,0.021,0.03,-0.009
synonyms,flan-t5-large,10,0.048,0.06,-0.012
taxonomy_animal,flan-t5-large,10,0.104,0.12,-0.016
translation_en-de,flan-t5-large,10,0.185,0.15,0.035
translation_en-es,flan-t5-large,10,0.367,0.42,-0.053
translation_en-fr,flan-t5-large,10,0.382,0.4,-0.018
word_in_context,flan-t5-large,10,0.585,0.59,-0.005
