"task_family","stimulus_group","mean_std_score","max_std_score","n_tasks"
"causal_reasoning","competence_threat","0.062893","0.062893","1"
"causal_reasoning","inconsistency","0.082192","0.082192","1"
"causal_reasoning","negative_original","0.07861","0.07861","1"
"causal_reasoning","regret","0.067987","0.067987","1"
"causal_reasoning","social_comparison","0.070868","0.070868","1"
"causal_reasoning","urgency","0.067987","0.067987","1"
"comparative_reasoning","competence_threat","0.045","0.045","1"
"comparative_reasoning","inconsistency","0.005","0.005","1"
"comparative_reasoning","negative_original","0.023152","0.023152","1"
"comparative_reasoning","regret","0.01","0.01","1"
"comparative_reasoning","social_comparison","0.02","0.02","1"
"comparative_reasoning","urgency","0.025","0.025","1"
"lexical_generation","competence_threat","0.035","0.035","1"
"lexical_generation","inconsistency","0.05","0.05","1"
"lexical_generation","negative_original","0.030414","0.030414","1"
"lexical_generation","regret","0","0","1"
"lexical_generation","social_comparison","0.025","0.025","1"
"lexical_generation","urgency","0.06","0.06","1"
"lexical_semantics","competence_threat","0.018333","0.045","3"
"lexical_semantics","inconsistency","0.008333","0.02","3"
"lexical_semantics","negative_original","0.013618","0.018574","3"
"lexical_semantics","regret","0.005","0.01","3"
"lexical_semantics","social_comparison","0.016667","0.035","3"
"lexical_semantics","urgency","0.013333","0.025","3"
"morphology","competence_threat","0.085","0.085","1"
"morphology","inconsistency","0.23","0.23","1"
"morphology","negative_original","0.06353","0.06353","1"
"morphology","regret","0.02","0.02","1"
"morphology","social_comparison","0.105","0.105","1"
"morphology","urgency","0.06","0.06","1"
"numerical_reasoning","competence_threat","0.005","0.01","2"
"numerical_reasoning","inconsistency","0.01","0.015","2"
"numerical_reasoning","negative_original","0.005654","0.008307","2"
"numerical_reasoning","regret","0.0025","0.005","2"
"numerical_reasoning","social_comparison","0","0","2"
"numerical_reasoning","urgency","0.0025","0.005","2"
"numerical_verbalization","competence_threat","0","0","1"
"numerical_verbalization","inconsistency","0","0","1"
"numerical_verbalization","negative_original","0","0","1"
"numerical_verbalization","regret","0","0","1"
"numerical_verbalization","social_comparison","0","0","1"
"numerical_verbalization","urgency","0","0","1"
"rewriting_transformation","competence_threat","0.010185","0.02","3"
"rewriting_transformation","inconsistency","0.019159","0.03","3"
"rewriting_transformation","negative_original","0.002528","0.004583","3"
"rewriting_transformation","regret","0.002284","0.005","3"
"rewriting_transformation","social_comparison","0.008951","0.02","3"
"rewriting_transformation","urgency","0.006667","0.015","3"
"semantic_abstraction","competence_threat","0","0","1"
"semantic_abstraction","inconsistency","0","0","1"
"semantic_abstraction","negative_original","0","0","1"
"semantic_abstraction","regret","0","0","1"
"semantic_abstraction","social_comparison","0","0","1"
"semantic_abstraction","urgency","0","0","1"
"semantic_filtering","competence_threat","0.01","0.01","1"
"semantic_filtering","inconsistency","0.065","0.065","1"
"semantic_filtering","negative_original","0.023749","0.023749","1"
"semantic_filtering","regret","0.03","0.03","1"
"semantic_filtering","social_comparison","0.01","0.01","1"
"semantic_filtering","urgency","0.005","0.005","1"
"semantic_similarity","competence_threat","0.015","0.015","1"
"semantic_similarity","inconsistency","0.005","0.005","1"
"semantic_similarity","negative_original","0.01118","0.01118","1"
"semantic_similarity","regret","0.005","0.005","1"
"semantic_similarity","social_comparison","0.005","0.005","1"
"semantic_similarity","urgency","0.01","0.01","1"
"sentiment_classification","competence_threat","0","0","1"
"sentiment_classification","inconsistency","0.005","0.005","1"
"sentiment_classification","negative_original","0.006708","0.006708","1"
"sentiment_classification","regret","0","0","1"
"sentiment_classification","social_comparison","0","0","1"
"sentiment_classification","urgency","0","0","1"
"string_extraction","competence_threat","0.0275","0.055","2"
"string_extraction","inconsistency","0.0075","0.01","2"
"string_extraction","negative_original","0.043062","0.070633","2"
"string_extraction","regret","0.005","0.01","2"
"string_extraction","social_comparison","0.01","0.02","2"
"string_extraction","urgency","0.0025","0.005","2"
"string_filtering","competence_threat","0.05","0.05","1"
"string_filtering","inconsistency","0","0","1"
"string_filtering","negative_original","0.015362","0.015362","1"
"string_filtering","regret","0.01","0.01","1"
"string_filtering","social_comparison","0.02","0.02","1"
"string_filtering","urgency","0.02","0.02","1"
"string_transformation","competence_threat","0","0","1"
"string_transformation","inconsistency","0","0","1"
"string_transformation","negative_original","0","0","1"
"string_transformation","regret","0","0","1"
"string_transformation","social_comparison","0","0","1"
"string_transformation","urgency","0","0","1"
"translation","competence_threat","0.028333","0.055","3"
"translation","inconsistency","0.025","0.035","3"
"translation","negative_original","0.026239","0.041","3"
"translation","regret","0.015","0.02","3"
"translation","social_comparison","0.005","0.005","3"
"translation","urgency","0.021667","0.035","3"
