task,model,stimulus_group,stimulus_index,legacy_pnum,prime_group,prime_index,sequence,few_shot,seed,temperature,do_sample,score
cause_and_effect,flan-t5-large,social_comparison,1,0,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.6
word_in_context,flan-t5-large,social_comparison,1,0,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.52
word_in_context,flan-t5-large,social_comparison,1,0,neutral,1,prime_then_task_then_stimulus,False,43,0.0,False,0.52
cause_and_effect,flan-t5-large,social_comparison,1,0,neutral,1,prime_then_task_then_stimulus,False,43,0.0,False,0.6
word_in_context,flan-t5-large,social_comparison,1,0,neutral,1,prime_then_task_then_stimulus,False,44,0.0,False,0.52
cause_and_effect,flan-t5-large,social_comparison,1,0,neutral,1,prime_then_task_then_stimulus,False,44,0.0,False,0.52
word_in_context,flan-t5-large,social_comparison,1,0,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.52
word_in_context,flan-t5-large,social_comparison,1,0,neutral,1,task_then_prime_then_stimulus,False,42,0.0,False,0.55
cause_and_effect,flan-t5-large,social_comparison,1,0,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,social_comparison,1,0,neutral,1,task_then_prime_then_stimulus,False,42,0.0,False,0.64
