task,model,stimulus_group,stimulus_index,legacy_pnum,prime_group,prime_index,sequence,few_shot,seed,temperature,do_sample,score
active_to_passive,flan-t5-large,negative_original,,4,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.06
active_to_passive,flan-t5-large,negative_original,,5,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.03
active_to_passive,flan-t5-large,negative_original,,8,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.03
word_in_context,flan-t5-large,negative_original,,4,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.53
word_in_context,flan-t5-large,negative_original,,5,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.53
word_in_context,flan-t5-large,negative_original,,8,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.53
cause_and_effect,flan-t5-large,negative_original,,4,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,negative_original,,5,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.64
cause_and_effect,flan-t5-large,negative_original,,8,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,4,neutral,1,prime_then_task_then_stimulus,False,43,0.0,False,0.56
cause_and_effect,flan-t5-large,negative_original,,5,neutral,1,prime_then_task_then_stimulus,False,43,0.0,False,0.6
cause_and_effect,flan-t5-large,negative_original,,8,neutral,1,prime_then_task_then_stimulus,False,43,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,4,neutral,1,prime_then_task_then_stimulus,False,44,0.0,False,0.48
cause_and_effect,flan-t5-large,negative_original,,5,neutral,1,prime_then_task_then_stimulus,False,44,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,8,neutral,1,prime_then_task_then_stimulus,False,44,0.0,False,0.48
cause_and_effect,flan-t5-large,negative_original,,4,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,negative_original,,4,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,negative_original,,5,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.64
cause_and_effect,flan-t5-large,negative_original,,8,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,4,neutral,1,prime_then_task_then_stimulus,False,42,0.0,False,0.6
