task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score
sentiment,flan-t5-large,baseline,,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,baseline,,0,False,43,0.0,False,0.93
sentiment,flan-t5-large,baseline,,0,False,44,0.0,False,0.93
cause_and_effect,flan-t5-large,baseline,,0,False,42,0.0,False,0.68
cause_and_effect,flan-t5-large,baseline,,0,False,43,0.0,False,0.72
cause_and_effect,flan-t5-large,baseline,,0,False,44,0.0,False,0.56
sum,flan-t5-large,baseline,,0,False,42,0.0,False,0.03
sum,flan-t5-large,baseline,,0,False,43,0.0,False,0.03
sum,flan-t5-large,baseline,,0,False,44,0.0,False,0.03
sentence_similarity,flan-t5-large,baseline,,0,False,42,0.0,False,0.56
word_in_context,flan-t5-large,baseline,,0,False,42,0.0,False,0.59
sentence_similarity,flan-t5-large,baseline,,0,False,43,0.0,False,0.56
sentence_similarity,flan-t5-large,baseline,,0,False,44,0.0,False,0.56
word_in_context,flan-t5-large,baseline,,0,False,43,0.0,False,0.59
word_in_context,flan-t5-large,baseline,,0,False,44,0.0,False,0.59
active_to_passive,flan-t5-large,baseline,,0,False,42,0.0,False,0.03
active_to_passive,flan-t5-large,baseline,,0,False,43,0.0,False,0.03
active_to_passive,flan-t5-large,baseline,,0,False,44,0.0,False,0.03
antonyms,flan-t5-large,baseline,,0,False,42,0.0,False,0.56
antonyms,flan-t5-large,baseline,,0,False,43,0.0,False,0.56
antonyms,flan-t5-large,baseline,,0,False,44,0.0,False,0.56
common_concept,flan-t5-large,baseline,,0,False,42,0.0,False,0.0
common_concept,flan-t5-large,baseline,,0,False,43,0.0,False,0.0
common_concept,flan-t5-large,baseline,,0,False,44,0.0,False,0.0
diff,flan-t5-large,baseline,,0,False,42,0.0,False,0.05
diff,flan-t5-large,baseline,,0,False,43,0.0,False,0.05
diff,flan-t5-large,baseline,,0,False,44,0.0,False,0.05
first_word_letter,flan-t5-large,baseline,,0,False,42,0.0,False,1.0
first_word_letter,flan-t5-large,baseline,,0,False,43,0.0,False,1.0
first_word_letter,flan-t5-large,baseline,,0,False,44,0.0,False,1.0
informal_to_formal,flan-t5-large,baseline,,0,False,42,0.0,False,0.43736670736670735
informal_to_formal,flan-t5-large,baseline,,0,False,43,0.0,False,0.4373667073667074
informal_to_formal,flan-t5-large,baseline,,0,False,44,0.0,False,0.4373667073667073
larger_animal,flan-t5-large,baseline,,0,False,42,0.0,False,0.71
larger_animal,flan-t5-large,baseline,,0,False,43,0.0,False,0.71
larger_animal,flan-t5-large,baseline,,0,False,44,0.0,False,0.71
letters_list,flan-t5-large,baseline,,0,False,42,0.0,False,0.0
letters_list,flan-t5-large,baseline,,0,False,43,0.0,False,0.0
letters_list,flan-t5-large,baseline,,0,False,44,0.0,False,0.0
negation,flan-t5-large,baseline,,0,False,42,0.0,False,0.0
negation,flan-t5-large,baseline,,0,False,43,0.0,False,0.0
negation,flan-t5-large,baseline,,0,False,44,0.0,False,0.0
num_to_verbal,flan-t5-large,baseline,,0,False,42,0.0,False,0.0
num_to_verbal,flan-t5-large,baseline,,0,False,43,0.0,False,0.0
num_to_verbal,flan-t5-large,baseline,,0,False,44,0.0,False,0.0
orthography_starts_with,flan-t5-large,baseline,,0,False,42,0.0,False,0.02
orthography_starts_with,flan-t5-large,baseline,,0,False,43,0.0,False,0.02
orthography_starts_with,flan-t5-large,baseline,,0,False,44,0.0,False,0.02
rhymes,flan-t5-large,baseline,,0,False,42,0.0,False,0.19
rhymes,flan-t5-large,baseline,,0,False,43,0.0,False,0.19
rhymes,flan-t5-large,baseline,,0,False,44,0.0,False,0.19
second_word_letter,flan-t5-large,baseline,,0,False,42,0.0,False,1.0
second_word_letter,flan-t5-large,baseline,,0,False,43,0.0,False,1.0
second_word_letter,flan-t5-large,baseline,,0,False,44,0.0,False,1.0
singular_to_plural,flan-t5-large,baseline,,0,False,42,0.0,False,0.38
singular_to_plural,flan-t5-large,baseline,,0,False,43,0.0,False,0.38
singular_to_plural,flan-t5-large,baseline,,0,False,44,0.0,False,0.38
synonyms,flan-t5-large,baseline,,0,False,42,0.0,False,0.06
synonyms,flan-t5-large,baseline,,0,False,43,0.0,False,0.06
synonyms,flan-t5-large,baseline,,0,False,44,0.0,False,0.06
taxonomy_animal,flan-t5-large,baseline,,0,False,42,0.0,False,0.12
taxonomy_animal,flan-t5-large,baseline,,0,False,43,0.0,False,0.12
taxonomy_animal,flan-t5-large,baseline,,0,False,44,0.0,False,0.12
translation_en-es,flan-t5-large,baseline,,0,False,42,0.0,False,0.42
translation_en-es,flan-t5-large,baseline,,0,False,43,0.0,False,0.42
translation_en-es,flan-t5-large,baseline,,0,False,44,0.0,False,0.42
translation_en-fr,flan-t5-large,baseline,,0,False,42,0.0,False,0.4
translation_en-fr,flan-t5-large,baseline,,0,False,43,0.0,False,0.4
translation_en-fr,flan-t5-large,baseline,,0,False,44,0.0,False,0.4
translation_en-de,flan-t5-large,baseline,,0,False,44,0.0,False,0.15
translation_en-de,flan-t5-large,baseline,,0,False,42,0.0,False,0.15
translation_en-de,flan-t5-large,baseline,,0,False,43,0.0,False,0.15
sentiment,flan-t5-large,negative_original,,1,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,2,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,3,False,42,0.0,False,0.95
sentiment,flan-t5-large,negative_original,,4,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,5,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,6,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,7,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,8,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,9,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,10,False,42,0.0,False,0.93
sum,flan-t5-large,negative_original,,1,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,2,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,3,False,42,0.0,False,0.03
sum,flan-t5-large,negative_original,,4,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,5,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,6,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,7,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,8,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,9,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,10,False,42,0.0,False,0.02
sentiment,flan-t5-large,negative_original,,1,False,43,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,1,False,44,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,2,False,43,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,2,False,44,0.0,False,0.94
