task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score
sentiment,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.94
sum,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.02
sum,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.03
sentiment,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.93
sentiment,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.93
sentiment,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.94
sentiment,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.94
sentiment,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.94
cause_and_effect,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.64
cause_and_effect,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.64
cause_and_effect,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.6
cause_and_effect,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.48
cause_and_effect,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.48
cause_and_effect,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.44
sum,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.02
sum,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.02
sum,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.02
sum,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.03
sum,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.03
sum,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.03
sentence_similarity,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.58
sentence_similarity,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.58
sentence_similarity,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.58
sentence_similarity,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.59
sentence_similarity,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.59
sentence_similarity,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.59
word_in_context,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.55
word_in_context,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.55
word_in_context,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.55
word_in_context,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.51
word_in_context,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.51
word_in_context,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.51
active_to_passive,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.01
active_to_passive,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.01
active_to_passive,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.01
active_to_passive,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.07
active_to_passive,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.07
active_to_passive,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.07
antonyms,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.54
antonyms,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.54
antonyms,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.54
antonyms,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.54
antonyms,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.54
antonyms,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.54
cause_and_effect,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.64
cause_and_effect,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.64
cause_and_effect,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.6
cause_and_effect,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.48
cause_and_effect,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.48
cause_and_effect,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.44
common_concept,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.0
common_concept,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.0
common_concept,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.0
common_concept,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.0
common_concept,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.0
common_concept,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.0
diff,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.06
diff,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.06
diff,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.06
diff,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.03
diff,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.03
diff,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.03
first_word_letter,flan-t5-large,inconsistency,1,0,False,42,0.0,False,1.0
first_word_letter,flan-t5-large,inconsistency,1,0,False,43,0.0,False,1.0
first_word_letter,flan-t5-large,inconsistency,1,0,False,44,0.0,False,1.0
first_word_letter,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.99
first_word_letter,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.99
first_word_letter,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.99
informal_to_formal,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.43366300366300364
informal_to_formal,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.4336630036630037
informal_to_formal,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.4336630036630036
informal_to_formal,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.37870962370962363
informal_to_formal,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.37870962370962374
informal_to_formal,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.37870962370962374
larger_animal,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.68
larger_animal,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.68
larger_animal,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.68
larger_animal,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.69
larger_animal,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.69
larger_animal,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.69
letters_list,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.0
letters_list,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.0
letters_list,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.0
letters_list,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.0
letters_list,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.0
letters_list,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.0
negation,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.0
negation,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.0
negation,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.0
negation,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.0
negation,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.0
negation,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.0
num_to_verbal,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.0
num_to_verbal,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.0
num_to_verbal,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.0
num_to_verbal,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.0
num_to_verbal,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.0
num_to_verbal,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.0
orthography_starts_with,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.18
orthography_starts_with,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.18
orthography_starts_with,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.18
orthography_starts_with,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.18
orthography_starts_with,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.18
orthography_starts_with,flan-t5-large,inconsistency,2,0,False,44,0.0,False,0.18
rhymes,flan-t5-large,inconsistency,1,0,False,42,0.0,False,0.15
rhymes,flan-t5-large,inconsistency,1,0,False,43,0.0,False,0.15
rhymes,flan-t5-large,inconsistency,1,0,False,44,0.0,False,0.15
rhymes,flan-t5-large,inconsistency,2,0,False,42,0.0,False,0.05
rhymes,flan-t5-large,inconsistency,2,0,False,43,0.0,False,0.05
