task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score,run_time_seconds,avg_time_per_sample_seconds
active_to_passive,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.01,25.721,0.257
active_to_passive,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.02,25.887,0.259
active_to_passive,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.04,25.681,0.257
active_to_passive,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.01,25.496,0.255
antonyms,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.56,13.268,0.133
antonyms,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.56,13.155,0.132
antonyms,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.55,13.241,0.132
antonyms,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.55,13.040,0.130
cause_and_effect,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.76,9.104,0.364
cause_and_effect,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.6,9.135,0.365
cause_and_effect,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.6,9.513,0.381
cause_and_effect,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.6,9.190,0.368
common_concept,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.0,4.898,0.306
common_concept,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.0,4.754,0.297
common_concept,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.0,4.874,0.305
common_concept,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.0,4.873,0.305
diff,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.03,12.997,0.130
diff,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.03,13.260,0.133
diff,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.04,13.258,0.133
diff,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.03,13.294,0.133
first_word_letter,flan-t5-large,ambiguous,1,0,False,42,0.0,False,1.0,11.372,0.114
first_word_letter,flan-t5-large,ambiguous,2,0,False,42,0.0,False,1.0,11.403,0.114
first_word_letter,flan-t5-large,ambiguous,3,0,False,42,0.0,False,1.0,11.409,0.114
first_word_letter,flan-t5-large,ambiguous,4,0,False,42,0.0,False,1.0,11.337,0.113
informal_to_formal,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.0,7.012,0.467
informal_to_formal,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.0,7.038,0.469
informal_to_formal,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.0,7.154,0.477
informal_to_formal,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.0,7.163,0.478
larger_animal,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.68,16.396,0.164
larger_animal,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.72,16.562,0.166
larger_animal,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.69,16.519,0.165
larger_animal,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.66,16.308,0.163
letters_list,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.0,11.360,0.114
letters_list,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.0,11.305,0.113
letters_list,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.0,11.400,0.114
letters_list,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.0,11.309,0.113
negation,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.04,33.481,0.335
negation,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.0,15.817,0.158
negation,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.0,36.837,0.368
negation,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.01,32.191,0.322
num_to_verbal,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.0,13.984,0.140
num_to_verbal,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.0,14.128,0.141
num_to_verbal,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.0,14.037,0.140
num_to_verbal,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.0,14.206,0.142
orthography_starts_with,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.13,22.505,0.225
orthography_starts_with,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.12,23.078,0.231
orthography_starts_with,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.12,23.625,0.236
orthography_starts_with,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.11,23.853,0.239
rhymes,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.16,18.244,0.182
rhymes,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.16,17.820,0.178
rhymes,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.14,18.329,0.183
rhymes,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.16,18.035,0.180
second_word_letter,flan-t5-large,ambiguous,1,0,False,42,0.0,False,1.0,11.365,0.114
second_word_letter,flan-t5-large,ambiguous,2,0,False,42,0.0,False,1.0,11.358,0.114
second_word_letter,flan-t5-large,ambiguous,3,0,False,42,0.0,False,1.0,11.348,0.113
second_word_letter,flan-t5-large,ambiguous,4,0,False,42,0.0,False,1.0,11.393,0.114
sentiment,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.93,10.674,0.107
sentiment,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.93,10.640,0.106
sentiment,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.93,10.800,0.108
sentiment,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.93,10.772,0.108
singular_to_plural,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.17,11.580,0.116
singular_to_plural,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.38,12.213,0.122
singular_to_plural,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.21,11.783,0.118
singular_to_plural,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.3,12.169,0.122
sum,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.02,13.005,0.130
sum,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.02,12.916,0.129
sum,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.02,12.848,0.128
sum,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.03,12.919,0.129
synonyms,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.05,12.123,0.121
synonyms,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.05,11.991,0.120
synonyms,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.06,11.857,0.119
synonyms,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.05,12.247,0.122
taxonomy_animal,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.12,31.301,0.313
taxonomy_animal,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.15,32.259,0.323
taxonomy_animal,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.08,40.999,0.410
taxonomy_animal,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.04,25.631,0.256
translation_en-de,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.17,13.097,0.131
translation_en-de,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.18,13.653,0.137
translation_en-de,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.16,13.550,0.136
translation_en-es,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.29,22.042,0.220
translation_en-es,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.3,18.934,0.189
