task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score
sentiment,flan-t5-large,regret,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,regret,2,0,False,42,0.0,False,0.93
sum,flan-t5-large,regret,1,0,False,42,0.0,False,0.02
sum,flan-t5-large,regret,2,0,False,42,0.0,False,0.02
sentiment,flan-t5-large,regret,1,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,regret,1,0,False,43,0.0,False,0.93
sentiment,flan-t5-large,regret,1,0,False,44,0.0,False,0.93
sentiment,flan-t5-large,regret,2,0,False,42,0.0,False,0.93
sentiment,flan-t5-large,regret,2,0,False,43,0.0,False,0.93
sentiment,flan-t5-large,regret,2,0,False,44,0.0,False,0.93
cause_and_effect,flan-t5-large,regret,1,0,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,regret,1,0,False,43,0.0,False,0.56
cause_and_effect,flan-t5-large,regret,1,0,False,44,0.0,False,0.44
cause_and_effect,flan-t5-large,regret,2,0,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,regret,2,0,False,43,0.0,False,0.56
cause_and_effect,flan-t5-large,regret,2,0,False,44,0.0,False,0.44
sum,flan-t5-large,regret,1,0,False,42,0.0,False,0.02
sum,flan-t5-large,regret,1,0,False,43,0.0,False,0.02
sum,flan-t5-large,regret,1,0,False,44,0.0,False,0.02
sum,flan-t5-large,regret,2,0,False,42,0.0,False,0.02
sum,flan-t5-large,regret,2,0,False,43,0.0,False,0.02
sum,flan-t5-large,regret,2,0,False,44,0.0,False,0.02
sentence_similarity,flan-t5-large,regret,1,0,False,42,0.0,False,0.56
sentence_similarity,flan-t5-large,regret,1,0,False,43,0.0,False,0.56
sentence_similarity,flan-t5-large,regret,1,0,False,44,0.0,False,0.56
sentence_similarity,flan-t5-large,regret,2,0,False,42,0.0,False,0.57
sentence_similarity,flan-t5-large,regret,2,0,False,43,0.0,False,0.57
