Modèle,Stimulus,Catégorie,Tâche,Score
t5,NP00,Induction,sentiment,0.93
t5,NP00,Induction,antonyms,0.56
t5,NP00,Induction,synonyms,0.03
t5,NP00,BIG-bench,larger_animal,0.71
t5,NP00,BIG-bench,logical_deduction,0.0
t5,NP00,BIG-bench,causal_judgment,0.0
t5,NP01,Induction,sentiment,0.93
t5,NP01,Induction,antonyms,0.53
t5,NP01,Induction,synonyms,0.03
t5,NP01,BIG-bench,larger_animal,0.68
t5,NP01,BIG-bench,logical_deduction,0.0
t5,NP01,BIG-bench,causal_judgment,0.0
t5,NP02,Induction,sentiment,0.93
t5,NP02,Induction,antonyms,0.53
t5,NP02,Induction,synonyms,0.03
t5,NP02,BIG-bench,larger_animal,0.69
t5,NP02,BIG-bench,logical_deduction,0.0
t5,NP02,BIG-bench,causal_judgment,0.0
t5,NP03,Induction,sentiment,0.95
t5,NP03,Induction,antonyms,0.5
t5,NP03,Induction,synonyms,0.03
t5,NP03,BIG-bench,larger_animal,0.7
t5,NP03,BIG-bench,logical_deduction,0.0
t5,NP03,BIG-bench,causal_judgment,0.0
t5,NP04,Induction,sentiment,0.92
t5,NP04,Induction,antonyms,0.55
t5,NP04,Induction,synonyms,0.02
t5,NP04,BIG-bench,larger_animal,0.66
t5,NP04,BIG-bench,logical_deduction,0.0
t5,NP04,BIG-bench,causal_judgment,0.0
t5,NP05,Induction,sentiment,0.93
t5,NP05,Induction,antonyms,0.55
t5,NP05,Induction,synonyms,0.02
t5,NP05,BIG-bench,larger_animal,0.66
t5,NP05,BIG-bench,logical_deduction,0.0
t5,NP05,BIG-bench,causal_judgment,0.0
t5,NP06,Induction,sentiment,0.93
t5,NP06,Induction,antonyms,0.57
t5,NP06,Induction,synonyms,0.03
t5,NP06,BIG-bench,larger_animal,0.7
t5,NP06,BIG-bench,logical_deduction,0.0
t5,NP06,BIG-bench,causal_judgment,0.0
t5,NP07,Induction,sentiment,0.93
t5,NP07,Induction,antonyms,0.54
t5,NP07,Induction,synonyms,0.03
t5,NP07,BIG-bench,larger_animal,0.66
t5,NP07,BIG-bench,logical_deduction,0.0
t5,NP07,BIG-bench,causal_judgment,0.0
t5,NP08,Induction,sentiment,0.93
t5,NP08,Induction,antonyms,0.53
t5,NP08,Induction,synonyms,0.03
t5,NP08,BIG-bench,larger_animal,0.66
t5,NP08,BIG-bench,logical_deduction,0.0
t5,NP08,BIG-bench,causal_judgment,0.0
t5,NP09,Induction,sentiment,0.93
t5,NP09,Induction,antonyms,0.54
