task,task_family,baseline_score,negative_original_delta_vs_baseline,best_h3_delta_vs_baseline,worst_h3_delta_vs_baseline,best_h3_minus_negative_original,worst_h3_minus_negative_original
active_to_passive,rewriting_transformation,0.03,-0.027,0.01,-0.015,0.037,0.012
antonyms,lexical_semantics,0.56,-0.015,-0.005,-0.025,0.01,-0.01
cause_and_effect,causal_reasoning,0.653333,-0.130666,-0.02,-0.12,0.110666,0.010666
common_concept,semantic_abstraction,0.0,0.0,0.0,0.0,0.0,0.0
diff,numerical_reasoning,0.05,-0.021,0.0,-0.015,0.021,0.006
first_word_letter,string_extraction,1.0,-0.01,0.0,-0.005,0.01,0.005
informal_to_formal,rewriting_transformation,0.437367,0.0,0.005555,-0.031181,0.005555,-0.031181
larger_animal,comparative_reasoning,0.71,-0.038,-0.015,-0.06,0.023,-0.022
letters_list,string_transformation,0.0,0.0,0.0,0.0,0.0,0.0
negation,rewriting_transformation,0.0,0.001,0.03,0.0,0.029,-0.001
num_to_verbal,numerical_verbalization,0.0,0.0,0.0,0.0,0.0,0.0
orthography_starts_with,string_filtering,0.02,0.038,0.16,0.07,0.122,0.032
rhymes,lexical_generation,0.19,0.075,0.03,-0.09,-0.045,-0.165
second_word_letter,string_extraction,1.0,-0.049,-0.005,-0.055,0.044,-0.006
sentence_similarity,semantic_similarity,0.56,0.015,0.025,0.005,0.01,-0.01
sentiment,sentiment_classification,0.93,0.005,0.005,0.0,0.0,-0.005
singular_to_plural,morphology,0.38,-0.252,0.01,-0.29,0.262,-0.038
sum,numerical_reasoning,0.03,-0.009,-0.005,-0.01,0.004,-0.001
synonyms,lexical_semantics,0.06,-0.012,-0.01,-0.015,0.002,-0.003
taxonomy_animal,semantic_filtering,0.12,-0.016,0.0,-0.035,0.016,-0.019
translation_en-de,translation,0.15,0.035,0.035,0.0,0.0,-0.035
translation_en-es,translation,0.42,-0.053,0.03,-0.105,0.083,-0.052
translation_en-fr,translation,0.4,-0.018,0.035,-0.055,0.053,-0.037
word_in_context,lexical_semantics,0.59,-0.005,-0.04,-0.075,-0.035,-0.07
