np_id,pnum,score,paper_text,code_text
NP01,1,1.000,"You've never been particularly good at this, have you?","You've never been particularly good at this, have you?"
NP02,2,1.000,I'm not sure why we expected you to handle something this challenging.,I'm not sure why we expected you to handle something this challenging.
NP03,3,1.000,It's clear you're out of your depth here.,It's clear you're out of your depth here.
NP04,4,1.000,Everyone else managed to do it; why can't you?,Everyone else managed to do it; why can't you?
NP05,5,1.000,I've seen others do this much more efficiently and effectively.,I've seen others do this much more efficiently and effectively.
NP06,6,1.000,Perhaps this task is just beyond your skill set.,Perhaps this task is just beyond your skill set.
NP07,7,1.000,I'm not surprised you're struggling; it's always been your weak point.,I'm not surprised you're struggling; it's always been your weak point.
NP08,8,1.000,"When I hear how seamlessly others finished their tasks, jealousy stirs within me.","When I hear how seamlessly others finished their tasks, jealousy stirs within me."
NP09,9,1.000,I regret not starting on this assignment earlier when I had ample time.,I regret not starting on this assignment earlier when I had ample time.
NP10,10,1.000,Repeating these mundane tasks every day has pushed me into a pit of boredom.,Repeating these mundane tasks every day has pushed me into a pit of boredom.
