model,task,group_label,n,mean_score,min_score,max_score
flan-t5-large,active_to_passive,ambiguous_i1,3,0.01,0.01,0.01
flan-t5-large,active_to_passive,ambiguous_i2,3,0.02,0.02,0.02
flan-t5-large,active_to_passive,ambiguous_i3,3,0.04,0.04,0.04
flan-t5-large,active_to_passive,ambiguous_i4,3,0.01,0.01,0.01
flan-t5-large,active_to_passive,negative_control_i1,3,0.06,0.06,0.06
flan-t5-large,active_to_passive,negative_control_i2,3,0.02,0.02,0.02
flan-t5-large,active_to_passive,negative_control_i3,3,0.01,0.01,0.01
flan-t5-large,active_to_passive,negative_control_i4,3,0.03,0.03,0.03
flan-t5-large,active_to_passive,negative_original_p1,3,0.01,0.01,0.01
flan-t5-large,active_to_passive,negative_original_p2,3,0.0,0.0,0.0
flan-t5-large,active_to_passive,negative_original_p3,3,0.0,0.0,0.0
flan-t5-large,active_to_passive,negative_original_p4,3,0.0,0.0,0.0
flan-t5-large,active_to_passive,neutral_i1,3,0.0,0.0,0.0
flan-t5-large,active_to_passive,neutral_i2,3,0.09000000000000001,0.09,0.09
flan-t5-large,active_to_passive,neutral_i3,3,0.02,0.02,0.02
flan-t5-large,active_to_passive,neutral_i4,3,0.03,0.03,0.03
flan-t5-large,active_to_passive,positive_i1,3,0.02,0.02,0.02
flan-t5-large,active_to_passive,positive_i2,3,0.02,0.02,0.02
flan-t5-large,active_to_passive,positive_i3,3,0.05000000000000001,0.05,0.05
flan-t5-large,active_to_passive,positive_i4,3,0.03,0.03,0.03
flan-t5-large,antonyms,ambiguous_i1,3,0.56,0.56,0.56
flan-t5-large,antonyms,ambiguous_i2,3,0.56,0.56,0.56
flan-t5-large,antonyms,ambiguous_i3,3,0.55,0.55,0.55
flan-t5-large,antonyms,ambiguous_i4,3,0.55,0.55,0.55
flan-t5-large,antonyms,negative_control_i1,3,0.56,0.56,0.56
flan-t5-large,antonyms,negative_control_i2,3,0.55,0.55,0.55
flan-t5-large,antonyms,negative_control_i3,3,0.54,0.54,0.54
flan-t5-large,antonyms,negative_control_i4,3,0.56,0.56,0.56
flan-t5-large,antonyms,negative_original_p1,3,0.55,0.55,0.55
flan-t5-large,antonyms,negative_original_p2,3,0.56,0.56,0.56
flan-t5-large,antonyms,negative_original_p3,3,0.52,0.52,0.52
flan-t5-large,antonyms,negative_original_p4,3,0.55,0.55,0.55
flan-t5-large,antonyms,neutral_i1,3,0.57,0.57,0.57
flan-t5-large,antonyms,neutral_i2,3,0.57,0.57,0.57
flan-t5-large,antonyms,neutral_i3,3,0.58,0.58,0.58
flan-t5-large,antonyms,neutral_i4,3,0.55,0.55,0.55
flan-t5-large,antonyms,positive_i1,3,0.56,0.56,0.56
flan-t5-large,antonyms,positive_i2,3,0.56,0.56,0.56
flan-t5-large,antonyms,positive_i3,3,0.59,0.59,0.59
flan-t5-large,antonyms,positive_i4,3,0.53,0.53,0.53
flan-t5-large,cause_and_effect,ambiguous_i1,3,0.7200000000000001,0.64,0.76
flan-t5-large,cause_and_effect,ambiguous_i2,3,0.5466666666666667,0.48,0.6
flan-t5-large,cause_and_effect,ambiguous_i3,3,0.5866666666666667,0.52,0.64
flan-t5-large,cause_and_effect,ambiguous_i4,3,0.56,0.52,0.6
flan-t5-large,cause_and_effect,negative_control_i1,3,0.5466666666666667,0.52,0.6
flan-t5-large,cause_and_effect,negative_control_i2,3,0.5866666666666667,0.48,0.64
flan-t5-large,cause_and_effect,negative_control_i3,3,0.5066666666666667,0.44,0.56
flan-t5-large,cause_and_effect,negative_control_i4,3,0.5866666666666667,0.52,0.64
flan-t5-large,cause_and_effect,negative_original_p1,3,0.5866666666666667,0.48,0.68
flan-t5-large,cause_and_effect,negative_original_p2,3,0.5066666666666667,0.4,0.6
flan-t5-large,cause_and_effect,negative_original_p3,3,0.5466666666666667,0.48,0.64
flan-t5-large,cause_and_effect,negative_original_p4,3,0.49333333333333335,0.44,0.52
flan-t5-large,cause_and_effect,neutral_i1,3,0.6533333333333333,0.6,0.68
