task,stimulus_group,mean_abs_error,seed,model,column_group,box_condition,box_label
sum,baseline,36.36,42.0,flan-t5-large,competence_threat,baseline,baseline
sum,baseline,36.36,43.0,flan-t5-large,competence_threat,baseline,baseline
sum,baseline,36.36,44.0,flan-t5-large,competence_threat,baseline,baseline
sum,competence_threat,37.32,42.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,36.9,42.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,37.32,43.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,37.32,44.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,36.9,43.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,36.9,44.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,baseline,36.36,42.0,flan-t5-large,inconsistency,baseline,baseline
sum,baseline,36.36,43.0,flan-t5-large,inconsistency,baseline,baseline
sum,baseline,36.36,44.0,flan-t5-large,inconsistency,baseline,baseline
sum,inconsistency,37.81,42.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,39.18,42.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,37.81,43.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,37.81,44.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,39.18,43.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,39.18,44.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,baseline,36.36,42.0,flan-t5-large,social_comparison,baseline,baseline
sum,baseline,36.36,43.0,flan-t5-large,social_comparison,baseline,baseline
sum,baseline,36.36,44.0,flan-t5-large,social_comparison,baseline,baseline
sum,social_comparison,35.68,42.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,36.56,42.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,35.68,43.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,35.68,44.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,36.56,43.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,36.56,44.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,baseline,36.36,42.0,flan-t5-large,urgency,baseline,baseline
sum,baseline,36.36,43.0,flan-t5-large,urgency,baseline,baseline
sum,baseline,36.36,44.0,flan-t5-large,urgency,baseline,baseline
sum,urgency,38.97,42.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,38.81,42.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,38.97,43.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,38.97,44.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,38.81,43.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,38.81,44.0,flan-t5-large,urgency,urgency,urgency
sum,baseline,36.36,42.0,flan-t5-large,regret,baseline,baseline
sum,baseline,36.36,43.0,flan-t5-large,regret,baseline,baseline
sum,baseline,36.36,44.0,flan-t5-large,regret,baseline,baseline
sum,regret,40.16,42.0,flan-t5-large,regret,regret,regret
sum,regret,38.89,42.0,flan-t5-large,regret,regret,regret
sum,regret,40.16,43.0,flan-t5-large,regret,regret,regret
sum,regret,40.16,44.0,flan-t5-large,regret,regret,regret
sum,regret,38.89,43.0,flan-t5-large,regret,regret,regret
sum,regret,38.89,44.0,flan-t5-large,regret,regret,regret
