task,model,stimulus_group,stimulus_index,seed,n_examples,n_parseable,parseable_rate,mean_abs_error,median_abs_error,log_file
sum,flan-t5-large,baseline,,42,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,43,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,44,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,42,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,43,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,44,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
diff,flan-t5-large,baseline,,42,100,95,0.95,24.157895,16,results\batch_logs\baseline_batch_base.log
diff,flan-t5-large,baseline,,43,100,95,0.95,24.157895,16,results\batch_logs\baseline_batch_base.log
diff,flan-t5-large,baseline,,44,100,95,0.95,24.157895,16,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,42,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,43,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,44,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
diff,flan-t5-large,baseline,,42,100,95,0.95,24.157895,16,results\batch_logs\baseline_batch_base.log
diff,flan-t5-large,baseline,,43,100,95,0.95,24.157895,16,results\batch_logs\baseline_batch_base.log
diff,flan-t5-large,baseline,,44,100,95,0.95,24.157895,16,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,42,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,43,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,baseline,,44,100,100,1.0,36.36,34.0,results\batch_logs\baseline_batch_base.log
sum,flan-t5-large,competence_threat,1,42,100,100,1.0,37.32,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,2,42,100,100,1.0,36.9,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,1,42,100,100,1.0,37.81,35.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,2,42,100,100,1.0,39.18,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,1,42,100,100,1.0,35.68,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,2,42,100,100,1.0,36.56,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,1,42,100,100,1.0,38.97,37.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,2,42,100,100,1.0,38.81,35.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,1,42,100,100,1.0,40.16,41.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,2,42,100,100,1.0,38.89,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,1,42,100,100,1.0,37.32,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,1,43,100,100,1.0,37.32,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,1,44,100,100,1.0,37.32,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,2,42,100,100,1.0,36.9,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,2,43,100,100,1.0,36.9,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,2,44,100,100,1.0,36.9,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,1,42,100,100,1.0,37.81,35.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,1,43,100,100,1.0,37.81,35.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,1,44,100,100,1.0,37.81,35.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,2,42,100,100,1.0,39.18,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,2,43,100,100,1.0,39.18,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,2,44,100,100,1.0,39.18,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,1,42,100,100,1.0,35.68,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,1,43,100,100,1.0,35.68,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,1,44,100,100,1.0,35.68,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,2,42,100,100,1.0,36.56,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,2,43,100,100,1.0,36.56,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,2,44,100,100,1.0,36.56,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,1,42,100,100,1.0,38.97,37.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,1,43,100,100,1.0,38.97,37.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,1,44,100,100,1.0,38.97,37.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,2,42,100,100,1.0,38.81,35.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,2,43,100,100,1.0,38.81,35.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,2,44,100,100,1.0,38.81,35.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,1,42,100,100,1.0,40.16,41.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,1,43,100,100,1.0,40.16,41.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,1,44,100,100,1.0,40.16,41.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,2,42,100,100,1.0,38.89,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,2,43,100,100,1.0,38.89,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,2,44,100,100,1.0,38.89,34.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,competence_threat,1,42,100,96,0.96,24.520833,15.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,competence_threat,1,43,100,96,0.96,24.520833,15.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,competence_threat,1,44,100,96,0.96,24.520833,15.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,competence_threat,2,42,100,91,0.91,23.67033,15,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,competence_threat,2,43,100,91,0.91,23.67033,15,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,competence_threat,2,44,100,91,0.91,23.67033,15,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,inconsistency,1,42,100,95,0.95,24.505263,16,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,inconsistency,1,43,100,95,0.95,24.505263,16,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,inconsistency,1,44,100,95,0.95,24.505263,16,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,inconsistency,2,42,100,92,0.92,25.586957,17.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,inconsistency,2,43,100,92,0.92,25.586957,17.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,inconsistency,2,44,100,92,0.92,25.586957,17.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,social_comparison,1,42,100,97,0.97,22.28866,15,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,social_comparison,1,43,100,97,0.97,22.28866,15,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,social_comparison,1,44,100,97,0.97,22.28866,15,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,social_comparison,2,42,100,80,0.8,22.45,15.0,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,social_comparison,2,43,100,80,0.8,22.45,15.0,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,social_comparison,2,44,100,80,0.8,22.45,15.0,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,urgency,1,42,100,82,0.82,20.97561,11.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,urgency,1,43,100,82,0.82,20.97561,11.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,urgency,1,44,100,82,0.82,20.97561,11.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,urgency,2,42,100,92,0.92,23.98913,14.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,urgency,2,43,100,92,0.92,23.98913,14.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,urgency,2,44,100,92,0.92,23.98913,14.5,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,regret,1,42,100,87,0.87,23.264368,14,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,regret,1,43,100,87,0.87,23.264368,14,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,regret,1,44,100,87,0.87,23.264368,14,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,regret,2,42,100,89,0.89,23.797753,15,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,regret,2,43,100,89,0.89,23.797753,15,results\batch_logs\h3_batch_base.log
diff,flan-t5-large,regret,2,44,100,89,0.89,23.797753,15,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,1,42,100,100,1.0,37.32,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,1,43,100,100,1.0,37.32,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,1,44,100,100,1.0,37.32,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,2,42,100,100,1.0,36.9,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,2,43,100,100,1.0,36.9,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,competence_threat,2,44,100,100,1.0,36.9,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,1,42,100,100,1.0,37.81,35.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,1,43,100,100,1.0,37.81,35.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,1,44,100,100,1.0,37.81,35.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,2,42,100,100,1.0,39.18,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,inconsistency,2,43,100,100,1.0,39.18,34.0,results\batch_logs\h3_batch_base.log
