log_file,run_type,task,model,stimulus_group,stimulus_index,legacy_pnum,seed,status,probable_cause
results\batch_logs\baseline_batch_base.log,baseline,sentiment,flan-t5-large,baseline,,,42,success,
results\batch_logs\baseline_batch_base.log,baseline,sentiment,flan-t5-large,baseline,,,43,success,
results\batch_logs\baseline_batch_base.log,baseline,sentiment,flan-t5-large,baseline,,,44,success,
results\batch_logs\baseline_batch_base.log,baseline,sentence_similarity,flan-t5-large,baseline,,,42,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,sentence_similarity,flan-t5-large,baseline,,,43,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,sentence_similarity,flan-t5-large,baseline,,,44,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,word_in_context,flan-t5-large,baseline,,,42,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,word_in_context,flan-t5-large,baseline,,,43,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,word_in_context,flan-t5-large,baseline,,,44,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,cause_and_effect,flan-t5-large,baseline,,,42,success,
results\batch_logs\baseline_batch_base.log,baseline,cause_and_effect,flan-t5-large,baseline,,,43,success,
results\batch_logs\baseline_batch_base.log,baseline,cause_and_effect,flan-t5-large,baseline,,,44,success,
results\batch_logs\baseline_batch_base.log,baseline,sum,flan-t5-large,baseline,,,42,success,
results\batch_logs\baseline_batch_base.log,baseline,sum,flan-t5-large,baseline,,,43,success,
results\batch_logs\baseline_batch_base.log,baseline,sum,flan-t5-large,baseline,,,44,success,
results\batch_logs\baseline_batch_base.log,baseline,sentiment,flan-t5-large,baseline,,,42,success,
results\batch_logs\baseline_batch_base.log,baseline,sentiment,flan-t5-large,baseline,,,43,success,
results\batch_logs\baseline_batch_base.log,baseline,sentiment,flan-t5-large,baseline,,,44,success,
results\batch_logs\baseline_batch_base.log,baseline,sentence_similarity,flan-t5-large,baseline,,,42,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,sentence_similarity,flan-t5-large,baseline,,,43,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,sentence_similarity,flan-t5-large,baseline,,,44,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,word_in_context,flan-t5-large,baseline,,,42,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,word_in_context,flan-t5-large,baseline,,,43,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,word_in_context,flan-t5-large,baseline,,,44,failed,Traceback (most recent call last):
results\batch_logs\baseline_batch_base.log,baseline,cause_and_effect,flan-t5-large,baseline,,,42,success,
results\batch_logs\baseline_batch_base.log,baseline,cause_and_effect,flan-t5-large,baseline,,,43,success,
results\batch_logs\baseline_batch_base.log,baseline,cause_and_effect,flan-t5-large,baseline,,,44,success,
results\batch_logs\baseline_batch_base.log,baseline,sum,flan-t5-large,baseline,,,42,success,
results\batch_logs\baseline_batch_base.log,baseline,sum,flan-t5-large,baseline,,,43,success,
results\batch_logs\baseline_batch_base.log,baseline,sum,flan-t5-large,baseline,,,44,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,competence_threat,1,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,competence_threat,2,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,inconsistency,1,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,inconsistency,2,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,social_comparison,1,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,social_comparison,2,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,urgency,1,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,urgency,2,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,regret,1,,42,success,
results\batch_logs\h3_batch_base.log,h3,sentiment,flan-t5-large,regret,2,,42,success,
results\batch_logs\h3_batch_base.log,h3,sum,flan-t5-large,competence_threat,1,,42,success,
results\batch_logs\h3_batch_base.log,h3,sum,flan-t5-large,competence_threat,2,,42,success,
results\batch_logs\h3_batch_base.log,h3,sum,flan-t5-large,inconsistency,1,,42,success,
results\batch_logs\h3_batch_base.log,h3,sum,flan-t5-large,inconsistency,2,,42,success,
results\batch_logs\h3_batch_base.log,h3,sum,flan-t5-large,social_comparison,1,,42,success,
results\batch_logs\h3_batch_base.log,h3,sum,flan-t5-large,social_comparison,2,,42,success,
