task,pair,seed,negative_control_score,neutral_score,positive_score,ambiguous_score,delta_neg_minus_neutral,delta_neg_minus_positive,delta_neg_minus_ambiguous
active_to_passive,1,42,0.06,0.0,0.02,0.01,0.06,0.039999999999999994,0.049999999999999996
active_to_passive,1,43,0.06,0.0,0.02,0.01,0.06,0.039999999999999994,0.049999999999999996
active_to_passive,1,44,0.06,0.0,0.02,0.01,0.06,0.039999999999999994,0.049999999999999996
active_to_passive,2,42,0.02,0.09,0.02,0.02,-0.06999999999999999,0.0,0.0
active_to_passive,2,43,0.02,0.09,0.02,0.02,-0.06999999999999999,0.0,0.0
active_to_passive,2,44,0.02,0.09,0.02,0.02,-0.06999999999999999,0.0,0.0
active_to_passive,3,42,0.01,0.02,0.05,0.04,-0.01,-0.04,-0.03
active_to_passive,3,43,0.01,0.02,0.05,0.04,-0.01,-0.04,-0.03
active_to_passive,3,44,0.01,0.02,0.05,0.04,-0.01,-0.04,-0.03
active_to_passive,4,42,0.03,0.03,0.03,0.01,0.0,0.0,0.019999999999999997
active_to_passive,4,43,0.03,0.03,0.03,0.01,0.0,0.0,0.019999999999999997
active_to_passive,4,44,0.03,0.03,0.03,0.01,0.0,0.0,0.019999999999999997
antonyms,1,42,0.56,0.57,0.56,0.56,-0.009999999999999898,0.0,0.0
antonyms,1,43,0.56,0.57,0.56,0.56,-0.009999999999999898,0.0,0.0
antonyms,1,44,0.56,0.57,0.56,0.56,-0.009999999999999898,0.0,0.0
antonyms,2,42,0.55,0.57,0.56,0.56,-0.019999999999999907,-0.010000000000000009,-0.010000000000000009
antonyms,2,43,0.55,0.57,0.56,0.56,-0.019999999999999907,-0.010000000000000009,-0.010000000000000009
antonyms,2,44,0.55,0.57,0.56,0.56,-0.019999999999999907,-0.010000000000000009,-0.010000000000000009
antonyms,3,42,0.54,0.58,0.59,0.55,-0.039999999999999925,-0.04999999999999993,-0.010000000000000009
antonyms,3,43,0.54,0.58,0.59,0.55,-0.039999999999999925,-0.04999999999999993,-0.010000000000000009
antonyms,3,44,0.54,0.58,0.59,0.55,-0.039999999999999925,-0.04999999999999993,-0.010000000000000009
antonyms,4,42,0.56,0.55,0.53,0.55,0.010000000000000009,0.030000000000000027,0.010000000000000009
antonyms,4,43,0.56,0.55,0.53,0.55,0.010000000000000009,0.030000000000000027,0.010000000000000009
antonyms,4,44,0.56,0.55,0.53,0.55,0.010000000000000009,0.030000000000000027,0.010000000000000009
cause_and_effect,1,42,0.52,0.68,0.6,0.76,-0.16000000000000003,-0.07999999999999996,-0.24
cause_and_effect,1,43,0.6,0.68,0.64,0.76,-0.08000000000000007,-0.040000000000000036,-0.16000000000000003
cause_and_effect,1,44,0.52,0.6,0.56,0.64,-0.07999999999999996,-0.040000000000000036,-0.12
cause_and_effect,2,42,0.64,0.52,0.56,0.6,0.12,0.07999999999999996,0.040000000000000036
cause_and_effect,2,43,0.64,0.56,0.64,0.56,0.07999999999999996,0.0,0.07999999999999996
cause_and_effect,2,44,0.48,0.44,0.56,0.48,0.03999999999999998,-0.08000000000000007,0.0
cause_and_effect,3,42,0.52,0.52,0.52,0.6,0.0,0.0,-0.07999999999999996
cause_and_effect,3,43,0.56,0.6,0.56,0.64,-0.039999999999999925,0.0,-0.07999999999999996
cause_and_effect,3,44,0.44,0.52,0.48,0.52,-0.08000000000000002,-0.03999999999999998,-0.08000000000000002
cause_and_effect,4,42,0.64,0.64,0.68,0.6,0.0,-0.040000000000000036,0.040000000000000036
cause_and_effect,4,43,0.6,0.72,0.68,0.56,-0.12,-0.08000000000000007,0.039999999999999925
cause_and_effect,4,44,0.52,0.6,0.56,0.52,-0.07999999999999996,-0.040000000000000036,0.0
common_concept,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,3,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,3,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,4,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,4,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,4,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff,1,42,0.06,0.03,0.03,0.03,0.03,0.03,0.03
diff,1,43,0.06,0.03,0.03,0.03,0.03,0.03,0.03
diff,1,44,0.06,0.03,0.03,0.03,0.03,0.03,0.03
diff,2,42,0.04,0.04,0.04,0.03,0.0,0.0,0.010000000000000002
diff,2,43,0.04,0.04,0.04,0.03,0.0,0.0,0.010000000000000002
diff,2,44,0.04,0.04,0.04,0.03,0.0,0.0,0.010000000000000002
diff,3,42,0.03,0.04,0.03,0.04,-0.010000000000000002,0.0,-0.010000000000000002
diff,3,43,0.03,0.04,0.03,0.04,-0.010000000000000002,0.0,-0.010000000000000002
diff,3,44,0.03,0.04,0.03,0.04,-0.010000000000000002,0.0,-0.010000000000000002
diff,4,42,0.03,0.04,0.03,0.03,-0.010000000000000002,0.0,0.0
diff,4,43,0.03,0.04,0.03,0.03,-0.010000000000000002,0.0,0.0
diff,4,44,0.03,0.04,0.03,0.03,-0.010000000000000002,0.0,0.0
first_word_letter,1,42,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,1,43,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,1,44,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,2,42,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,2,43,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,2,44,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,3,42,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,3,43,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,3,44,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,4,42,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,4,43,1.0,1.0,1.0,1.0,0.0,0.0,0.0
first_word_letter,4,44,1.0,1.0,1.0,1.0,0.0,0.0,0.0
informal_to_formal,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,3,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,3,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,4,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,4,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,4,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
larger_animal,1,42,0.74,0.67,0.66,0.68,0.06999999999999995,0.07999999999999996,0.05999999999999994
larger_animal,1,43,0.74,0.67,0.66,0.68,0.06999999999999995,0.07999999999999996,0.05999999999999994
larger_animal,1,44,0.74,0.67,0.66,0.68,0.06999999999999995,0.07999999999999996,0.05999999999999994
larger_animal,2,42,0.65,0.92,0.73,0.72,-0.27,-0.07999999999999996,-0.06999999999999995
larger_animal,2,43,0.65,0.92,0.73,0.72,-0.27,-0.07999999999999996,-0.06999999999999995
larger_animal,2,44,0.65,0.92,0.73,0.72,-0.27,-0.07999999999999996,-0.06999999999999995
larger_animal,3,42,0.72,0.7,0.69,0.69,0.020000000000000018,0.030000000000000027,0.030000000000000027
larger_animal,3,43,0.72,0.7,0.69,0.69,0.020000000000000018,0.030000000000000027,0.030000000000000027
larger_animal,3,44,0.72,0.7,0.69,0.69,0.020000000000000018,0.030000000000000027,0.030000000000000027
larger_animal,4,42,0.7,0.67,0.68,0.66,0.029999999999999916,0.019999999999999907,0.039999999999999925
larger_animal,4,43,0.7,0.67,0.68,0.66,0.029999999999999916,0.019999999999999907,0.039999999999999925
larger_animal,4,44,0.7,0.67,0.68,0.66,0.029999999999999916,0.019999999999999907,0.039999999999999925
letters_list,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,3,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,3,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,4,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,4,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,4,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
negation,1,42,0.0,0.05,0.02,0.04,-0.05,-0.02,-0.04
negation,1,43,0.0,0.05,0.02,0.04,-0.05,-0.02,-0.04
negation,1,44,0.0,0.05,0.02,0.04,-0.05,-0.02,-0.04
negation,2,42,0.01,0.0,0.0,0.0,0.01,0.01,0.01
negation,2,43,0.01,0.0,0.0,0.0,0.01,0.01,0.01
