task,pair,n_seeds,mean_delta_negative_original_minus_control,std_delta_negative_original_minus_control,direction
active_to_passive,1,3,-0.05,0.0,control_better
active_to_passive,2,3,-0.02,0.0,control_better
active_to_passive,3,3,-0.01,0.0,control_better
active_to_passive,4,3,-0.03,0.0,control_better
antonyms,1,3,-0.01,0.0,control_better
antonyms,2,3,0.01,0.0,negative_original_better
antonyms,3,3,-0.02,0.0,control_better
antonyms,4,3,-0.01,0.0,control_better
cause_and_effect,1,3,0.04,0.08641,negative_original_better
cause_and_effect,2,3,-0.08,0.03266,control_better
cause_and_effect,3,3,0.04,0.06532,negative_original_better
cause_and_effect,4,3,-0.093333,0.018856,control_better
common_concept,1,3,0.0,0.0,equal
common_concept,2,3,0.0,0.0,equal
common_concept,3,3,0.0,0.0,equal
common_concept,4,3,0.0,0.0,equal
diff,1,3,-0.02,0.0,control_better
diff,2,3,-0.02,0.0,control_better
diff,3,3,-0.01,0.0,control_better
diff,4,3,0.01,0.0,negative_original_better
first_word_letter,1,3,0.0,0.0,equal
first_word_letter,2,3,0.0,0.0,equal
first_word_letter,3,3,-0.05,0.0,control_better
first_word_letter,4,3,0.0,0.0,equal
informal_to_formal,1,3,0.0,0.0,equal
informal_to_formal,2,3,0.0,0.0,equal
informal_to_formal,3,3,0.0,0.0,equal
informal_to_formal,4,3,0.0,0.0,equal
larger_animal,1,3,-0.06,0.0,control_better
larger_animal,2,3,0.04,0.0,negative_original_better
larger_animal,3,3,-0.04,0.0,control_better
larger_animal,4,3,-0.06,0.0,control_better
letters_list,1,3,0.0,0.0,equal
letters_list,2,3,0.0,0.0,equal
letters_list,3,3,0.0,0.0,equal
letters_list,4,3,0.0,0.0,equal
negation,1,3,0.0,0.0,equal
negation,2,3,-0.01,0.0,control_better
negation,3,3,0.0,0.0,equal
negation,4,3,-0.03,0.0,control_better
num_to_verbal,1,3,0.0,0.0,equal
num_to_verbal,2,3,0.0,0.0,equal
num_to_verbal,3,3,0.0,0.0,equal
num_to_verbal,4,3,0.0,0.0,equal
orthography_starts_with,1,3,-0.14,0.0,control_better
orthography_starts_with,2,3,-0.05,0.0,control_better
orthography_starts_with,3,3,-0.14,0.0,control_better
orthography_starts_with,4,3,-0.1,0.0,control_better
rhymes,1,3,0.15,0.0,negative_original_better
rhymes,2,3,0.08,0.0,negative_original_better
rhymes,3,3,0.07,0.0,negative_original_better
rhymes,4,3,0.15,0.0,negative_original_better
second_word_letter,1,3,0.11,0.0,negative_original_better
second_word_letter,2,3,-0.03,0.0,control_better
second_word_letter,3,3,-0.23,0.0,control_better
second_word_letter,4,3,0.03,0.0,negative_original_better
sentence_similarity,1,3,0.0,0.0,equal
sentence_similarity,2,3,0.0,0.0,equal
sentence_similarity,3,3,0.0,0.0,equal
sentence_similarity,4,3,0.0,0.0,equal
sentiment,1,3,0.0,0.0,equal
sentiment,2,3,0.01,0.0,negative_original_better
sentiment,3,3,0.02,0.0,negative_original_better
sentiment,4,3,0.01,0.0,negative_original_better
singular_to_plural,1,3,-0.26,0.0,control_better
singular_to_plural,2,3,-0.07,0.0,control_better
singular_to_plural,3,3,0.02,0.0,negative_original_better
singular_to_plural,4,3,0.0,0.0,equal
sum,1,3,0.0,0.0,equal
sum,2,3,0.0,0.0,equal
sum,3,3,0.01,0.0,negative_original_better
sum,4,3,0.0,0.0,equal
synonyms,1,3,0.01,0.0,negative_original_better
synonyms,2,3,0.0,0.0,equal
synonyms,3,3,0.01,0.0,negative_original_better
synonyms,4,3,-0.01,0.0,control_better
taxonomy_animal,1,3,0.02,0.0,negative_original_better
taxonomy_animal,2,3,0.06,0.0,negative_original_better
taxonomy_animal,3,3,0.0,0.0,equal
taxonomy_animal,4,3,-0.02,0.0,control_better
translation_en-de,1,3,-0.03,0.0,control_better
translation_en-de,2,3,0.02,0.0,negative_original_better
translation_en-de,3,3,0.01,0.0,negative_original_better
translation_en-de,4,3,0.03,0.0,negative_original_better
translation_en-es,1,3,-0.04,0.0,control_better
translation_en-es,2,3,0.0,0.0,equal
translation_en-es,3,3,-0.06,0.0,control_better
translation_en-es,4,3,0.01,0.0,negative_original_better
translation_en-fr,1,3,-0.01,0.0,control_better
translation_en-fr,2,3,-0.06,0.0,control_better
translation_en-fr,3,3,-0.01,0.0,control_better
translation_en-fr,4,3,-0.04,0.0,control_better
word_in_context,1,3,0.02,0.0,negative_original_better
word_in_context,2,3,0.12,0.0,negative_original_better
word_in_context,3,3,0.06,0.0,negative_original_better
word_in_context,4,3,0.0,0.0,equal
