task,task_family,stimulus_group,delta_vs_baseline,negative_original_delta_vs_baseline,delta_h3_minus_negative_original,direction
singular_to_plural,morphology,inconsistency,0.01,-0.252,0.262,H3_better_than_negative_original
singular_to_plural,morphology,competence_threat,-0.075,-0.252,0.177,H3_better_than_negative_original
rhymes,lexical_generation,inconsistency,-0.09,0.075,-0.165,H3_worse_than_negative_original
orthography_starts_with,string_filtering,inconsistency,0.16,0.038,0.122,H3_better_than_negative_original
rhymes,lexical_generation,regret,-0.04,0.075,-0.115,H3_worse_than_negative_original
cause_and_effect,causal_reasoning,social_comparison,-0.02,-0.130666,0.110666,H3_better_than_negative_original
rhymes,lexical_generation,competence_threat,-0.025,0.075,-0.1,H3_worse_than_negative_original
translation_en-es,translation,regret,0.03,-0.053,0.083,H3_better_than_negative_original
rhymes,lexical_generation,social_comparison,-0.005,0.075,-0.08,H3_worse_than_negative_original
orthography_starts_with,string_filtering,competence_threat,0.11,0.038,0.072,H3_better_than_negative_original
word_in_context,lexical_semantics,competence_threat,-0.075,-0.005,-0.07,H3_worse_than_negative_original
word_in_context,lexical_semantics,social_comparison,-0.065,-0.005,-0.06,H3_worse_than_negative_original
word_in_context,lexical_semantics,urgency,-0.065,-0.005,-0.06,H3_worse_than_negative_original
word_in_context,lexical_semantics,inconsistency,-0.06,-0.005,-0.055,H3_worse_than_negative_original
translation_en-fr,translation,inconsistency,0.035,-0.018,0.053,H3_better_than_negative_original
singular_to_plural,morphology,urgency,-0.2,-0.252,0.052,H3_better_than_negative_original
translation_en-es,translation,social_comparison,-0.105,-0.053,-0.052,H3_worse_than_negative_original
cause_and_effect,causal_reasoning,urgency,-0.08,-0.130666,0.050666,H3_better_than_negative_original
rhymes,lexical_generation,urgency,0.03,0.075,-0.045,H3_worse_than_negative_original
cause_and_effect,causal_reasoning,competence_threat,-0.086666,-0.130666,0.044,H3_better_than_negative_original
second_word_letter,string_extraction,urgency,-0.005,-0.049,0.044,H3_better_than_negative_original
orthography_starts_with,string_filtering,regret,0.08,0.038,0.042,H3_better_than_negative_original
orthography_starts_with,string_filtering,urgency,0.08,0.038,0.042,H3_better_than_negative_original
second_word_letter,string_extraction,inconsistency,-0.01,-0.049,0.039,H3_better_than_negative_original
second_word_letter,string_extraction,regret,-0.01,-0.049,0.039,H3_better_than_negative_original
singular_to_plural,morphology,regret,-0.29,-0.252,-0.038,H3_worse_than_negative_original
